snapshot_number,byte_offset,particle_count,time,x_min,y_min,z_min,x_max,y_max,z_max
75,156331590,10792,129.0387044,-30.0,-5.0,-30.0,30.0,5.0,30.0
76,158402678,10792,130.7592205,-30.0,-5.0,-30.0,30.0,5.0,30.0
77,160473966,10792,132.4797366,-30.0,-5.0,-30.0,30.0,5.0,30.0
78,162545920,10792,134.2002526,-30.0,-5.0,-30.0,30.0,5.0,30.0
79,164617880,10792,135.9207687,-30.0,-5.0,-30.0,30.0,5.0,30.0
80,166690288,10792,137.6412847,-30.0,-5.0,-30.0,30.0,5.0,30.0
81,168763939,10792,139.3618008,-30.0,-5.0,-30.0,30.0,5.0,30.0
82,170836651,10792,141.0823169,-30.0,-5.0,-30.0,30.0,5.0,30.0
83,172908576,10792,142.8028329,-30.0,-5.0,-30.0,30.0,5.0,30.0
84,174980723,10792,144.523349,-30.0,-5.0,-30.0,30.0,5.0,30.0
85,177051810,10792,146.243865,-30.0,-5.0,-30.0,30.0,5.0,30.0
86,179123104,10792,147.9643811,-30.0,-5.0,-30.0,30.0,5.0,30.0
87,181194811,10792,149.6848971,-30.0,-5.0,-30.0,30.0,5.0,30.0
88,183264689,10792,151.4054132,-30.0,-5.0,-30.0,30.0,5.0,30.0
89,185335972,10792,153.1259293,-30.0,-5.0,-30.0,30.0,5.0,30.0
90,187407365,10792,154.8464453,-30.0,-5.0,-30.0,30.0,5.0,30.0
91,189479110,10792,156.5669614,-30.0,-5.0,-30.0,30.0,5.0,30.0
92,191550249,10792,158.2874774,-30.0,-5.0,-30.0,30.0,5.0,30.0
93,193623071,10792,160.0079935,-30.0,-5.0,-30.0,30.0,5.0,30.0
94,195694071,10792,161.7285096,-30.0,-5.0,-30.0,30.0,5.0,30.0
95,197765805,10792,163.4490256,-30.0,-5.0,-30.0,30.0,5.0,30.0
96,199836974,10792,165.1695417,-30.0,-5.0,-30.0,30.0,5.0,30.0
97,201908022,10792,166.8900577,-30.0,-5.0,-30.0,30.0,5.0,30.0
98,203979954,10792,168.6105738,-30.0,-5.0,-30.0,30.0,5.0,30.0
99,206052283,10792,170.3310899,-30.0,-5.0,-30.0,30.0,5.0,30.0
100,208123809,10792,172.0516059,-30.0,-5.0,-30.0,30.0,5.0,30.0
101,210195446,10792,173.772122,-30.0,-5.0,-30.0,30.0,5.0,30.0
102,212268665,10792,175.492638,-30.0,-5.0,-30.0,30.0,5.0,30.0
103,214341428,10792,177.2131541,-30.0,-5.0,-30.0,30.0,5.0,30.0
104,216412748,10792,178.9336702,-30.0,-5.0,-30.0,30.0,5.0,30.0
105,218484131,10792,180.6541862,-30.0,-5.0,-30.0,30.0,5.0,30.0
106,220557196,10792,182.3747023,-30.0,-5.0,-30.0,30.0,5.0,30.0
107,222627626,10792,184.0952183,-30.0,-5.0,-30.0,30.0,5.0,30.0
108,224697954,10792,185.8157344,-30.0,-5.0,-30.0,30.0,5.0,30.0
109,226770067,10792,187.5362505,-30.0,-5.0,-30.0,30.0,5.0,30.0
110,228842804,10792,189.2567665,-30.0,-5.0,-30.0,30.0,5.0,30.0
111,230915272,10792,190.9772826,-30.0,-5.0,-30.0,30.0,5.0,30.0
112,232986939,10792,192.6977986,-30.0,-5.0,-30.0,30.0,5.0,30.0
113,235058769,10792,194.4183147,-30.0,-5.0,-30.0,30.0,5.0,30.0
114,237131727,10792,196.1388307,-30.0,-5.0,-30.0,30.0,5.0,30.0
115,239203183,10792,197.8593468,-30.0,-5.0,-30.0,30.0,5.0,30.0
116,241274747,10792,199.5798629,-30.0,-5.0,-30.0,30.0,5.0,30.0
117,243345010,10792,201.3003789,-30.0,-5.0,-30.0,30.0,5.0,30.0
118,245417217,10792,203.020895,-30.0,-5.0,-30.0,30.0,5.0,30.0
119,247487986,10792,204.741411,-30.0,-5.0,-30.0,30.0,5.0,30.0
120,249558818,10792,206.4619271,-30.0,-5.0,-30.0,30.0,5.0,30.0
121,251629788,10792,208.1824432,-30.0,-5.0,-30.0,30.0,5.0,30.0
122,253700479,10792,209.9029592,-30.0,-5.0,-30.0,30.0,5.0,30.0
123,255771505,10792,211.6234753,-30.0,-5.0,-30.0,30.0,5.0,30.0
124,257842020,10792,213.3439913,-30.0,-5.0,-30.0,30.0,5.0,30.0
125,259911709,10792,215.0645074,-30.0,-5.0,-30.0,30.0,5.0,30.0
126,261982736,10792,216.7850235,-30.0,-5.0,-30.0,30.0,5.0,30.0
127,264052946,10792,218.5055395,-30.0,-5.0,-30.0,30.0,5.0,30.0
128,266123623,10792,220.2260556,-30.0,-5.0,-30.0,30.0,5.0,30.0
129,268194438,10792,221.9465716,-30.0,-5.0,-30.0,30.0,5.0,30.0
130,270264347,10792,223.6670877,-30.0,-5.0,-30.0,30.0,5.0,30.0
131,272335647,10792,225.3876038,-30.0,-5.0,-30.0,30.0,5.0,30.0
132,274405756,10792,227.1081198,-30.0,-5.0,-30.0,30.0,5.0,30.0
133,276476436,10792,228.8286359,-30.0,-5.0,-30.0,30.0,5.0,30.0
134,278547392,10792,230.5491519,-30.0,-5.0,-30.0,30.0,5.0,30.0
135,280618603,10792,232.269668,-30.0,-5.0,-30.0,30.0,5.0,30.0
136,282688718,10792,233.990184,-30.0,-5.0,-30.0,30.0,5.0,30.0
137,284761770,10792,235.7107001,-30.0,-5.0,-30.0,30.0,5.0,30.0
138,286832856,10792,237.4312162,-30.0,-5.0,-30.0,30.0,5.0,30.0
139,288905922,10792,239.1517322,-30.0,-5.0,-30.0,30.0,5.0,30.0
140,290979051,10792,240.8722483,-30.0,-5.0,-30.0,30.0,5.0,30.0
141,293052796,10792,242.5927643,-30.0,-5.0,-30.0,30.0,5.0,30.0
142,295126697,10792,244.3132804,-30.0,-5.0,-30.0,30.0,5.0,30.0
143,297200666,10792,246.0337965,-30.0,-5.0,-30.0,30.0,5.0,30.0
144,299273179,10792,247.7543125,-30.0,-5.0,-30.0,30.0,5.0,30.0
145,301344567,10792,249.4748286,-30.0,-5.0,-30.0,30.0,5.0,30.0
146,303417025,10792,251.1953446,-30.0,-5.0,-30.0,30.0,5.0,30.0
147,305489080,10792,252.9158607,-30.0,-5.0,-30.0,30.0,5.0,30.0
148,307560735,10792,254.6363768,-30.0,-5.0,-30.0,30.0,5.0,30.0
149,309631812,10792,256.3568928,-30.0,-5.0,-30.0,30.0,5.0,30.0
150,311700941,10792,258.0774089,-30.0,-5.0,-30.0,30.0,5.0,30.0
151,313771237,10792,259.7979249,-30.0,-5.0,-30.0,30.0,5.0,30.0
152,315842733,10792,261.518441,-30.0,-5.0,-30.0,30.0,5.0,30.0
153,317913922,10792,263.2389571,-30.0,-5.0,-30.0,30.0,5.0,30.0
154,319983901,10792,264.9594731,-30.0,-5.0,-30.0,30.0,5.0,30.0
155,322053148,10792,266.6799892,-30.0,-5.0,-30.0,30.0,5.0,30.0
156,324123735,10792,268.4005052,-30.0,-5.0,-30.0,30.0,5.0,30.0
157,326193251,10792,270.1210213,-30.0,-5.0,-30.0,30.0,5.0,30.0
158,328263628,10792,271.8415374,-30.0,-5.0,-30.0,30.0,5.0,30.0
159,330334583,10792,273.5620534,-30.0,-5.0,-30.0,30.0,5.0,30.0
160,332406290,10792,275.2825695,-30.0,-5.0,-30.0,30.0,5.0,30.0
161,334478100,10792,277.0030855,-30.0,-5.0,-30.0,30.0,5.0,30.0
162,336549825,10792,278.7236016,-30.0,-5.0,-30.0,30.0,5.0,30.0
163,338620240,10792,280.4441176,-30.0,-5.0,-30.0,30.0,5.0,30.0
164,340691501,10792,282.1646337,-30.0,-5.0,-30.0,30.0,5.0,30.0
165,342763253,10792,283.8851498,-30.0,-5.0,-30.0,30.0,5.0,30.0
166,344835479,10792,285.6056658,-30.0,-5.0,-30.0,30.0,5.0,30.0
167,346907837,10792,287.3261819,-30.0,-5.0,-30.0,30.0,5.0,30.0
168,348979947,10792,289.0466979,-30.0,-5.0,-30.0,30.0,5.0,30.0
169,351050185,10792,290.767214,-30.0,-5.0,-30.0,30.0,5.0,30.0
170,353122023,10792,292.4877301,-30.0,-5.0,-30.0,30.0,5.0,30.0
171,355192857,10792,294.2082461,-30.0,-5.0,-30.0,30.0,5.0,30.0
172,357264385,10792,295.9287622,-30.0,-5.0,-30.0,30.0,5.0,30.0
173,359336343,10792,297.6492782,-30.0,-5.0,-30.0,30.0,5.0,30.0
174,361407284,10792,299.3697943,-30.0,-5.0,-30.0,30.0,5.0,30.0
175,363477841,10792,301.0903104,-30.0,-5.0,-30.0,30.0,5.0,30.0
176,365548057,10792,302.8108264,-30.0,-5.0,-30.0,30.0,5.0,30.0
177,367619827,10792,304.5313425,-30.0,-5.0,-30.0,30.0,5.0,30.0
178,369694066,10792,306.2518585,-30.0,-5.0,-30.0,30.0,5.0,30.0
179,371765184,10792,307.9723746,-30.0,-5.0,-30.0,30.0,5.0,30.0
180,373838409,10792,309.6928907,-30.0,-5.0,-30.0,30.0,5.0,30.0
181,375910741,10792,311.4134067,-30.0,-5.0,-30.0,30.0,5.0,30.0
182,377981610,10792,313.1339228,-30.0,-5.0,-30.0,30.0,5.0,30.0
183,380052805,10792,314.8544388,-30.0,-5.0,-30.0,30.0,5.0,30.0
184,382124733,10792,316.5749549,-30.0,-5.0,-30.0,30.0,5.0,30.0
185,384197237,10792,318.2954709,-30.0,-5.0,-30.0,30.0,5.0,30.0
186,386270023,10792,320.015987,-30.0,-5.0,-30.0,30.0,5.0,30.0
187,388343631,10792,321.7365031,-30.0,-5.0,-30.0,30.0,5.0,30.0
188,390416628,10792,323.4570191,-30.0,-5.0,-30.0,30.0,5.0,30.0
189,392487203,10792,325.1775352,-30.0,-5.0,-30.0,30.0,5.0,30.0
190,394559203,10792,326.8980512,-30.0,-5.0,-30.0,30.0,5.0,30.0
191,396630448,10792,328.6185673,-30.0,-5.0,-30.0,30.0,5.0,30.0
192,398701345,10792,330.3390834,-30.0,-5.0,-30.0,30.0,5.0,30.0
193,400771222,10792,332.0595994,-30.0,-5.0,-30.0,30.0,5.0,30.0
194,402841488,10792,333.7801155,-30.0,-5.0,-30.0,30.0,5.0,30.0
195,404912688,10792,335.5006315,-30.0,-5.0,-30.0,30.0,5.0,30.0
196,406981444,10792,337.2211476,-30.0,-5.0,-30.0,30.0,5.0,30.0
197,409052351,10792,338.9416637,-30.0,-5.0,-30.0,30.0,5.0,30.0
198,411123252,10792,340.6621797,-30.0,-5.0,-30.0,30.0,5.0,30.0
199,413193715,10792,342.3826958,-30.0,-5.0,-30.0,30.0,5.0,30.0
200,415264596,10792,344.1032118,-30.0,-5.0,-30.0,30.0,5.0,30.0
201,417333447,10792,345.8237279,-30.0,-5.0,-30.0,30.0,5.0,30.0
202,419403897,10792,347.544244,-30.0,-5.0,-30.0,30.0,5.0,30.0
203,421476182,10792,349.26476,-30.0,-5.0,-30.0,30.0,5.0,30.0
204,423545395,10792,350.9852761,-30.0,-5.0,-30.0,30.0,5.0,30.0
205,425617717,10792,352.7057921,-30.0,-5.0,-30.0,30.0,5.0,30.0
206,427688305,10792,354.4263082,-30.0,-5.0,-30.0,30.0,5.0,30.0
207,429758825,10792,356.1468242,-30.0,-5.0,-30.0,30.0,5.0,30.0
208,431831349,10792,357.8673403,-30.0,-5.0,-30.0,30.0,5.0,30.0
209,433903034,10792,359.5878564,-30.0,-5.0,-30.0,30.0,5.0,30.0
210,435975113,10792,361.3083724,-30.0,-5.0,-30.0,30.0,5.0,30.0
211,438045935,10792,363.0288885,-30.0,-5.0,-30.0,30.0,5.0,30.0
212,440118395,10792,364.7494045,-30.0,-5.0,-30.0,30.0,5.0,30.0
213,442191710,10792,366.4699206,-30.0,-5.0,-30.0,30.0,5.0,30.0
214,444263924,10792,368.1904367,-30.0,-5.0,-30.0,30.0,5.0,30.0
215,446336135,10792,369.9109527,-30.0,-5.0,-30.0,30.0,5.0,30.0
216,448408112,10792,371.6314688,-30.0,-5.0,-30.0,30.0,5.0,30.0
217,450481869,10792,373.3519848,-30.0,-5.0,-30.0,30.0,5.0,30.0
218,452553962,10792,375.0725009,-30.0,-5.0,-30.0,30.0,5.0,30.0
219,454626452,10792,376.793017,-30.0,-5.0,-30.0,30.0,5.0,30.0
