size_ratio,projection_error,linear_error,neural_network_error,neural_network_excess_error
1.0625,0.0064788276911780344,0.019061439883685003,0.013041642704225476,0.006562815013047441
1.125,0.007215174135645699,0.011532152554711619,0.012360503473529131,0.005145329337883432
1.25,0.00561165261648062,0.009023333396872255,0.008708136934115696,0.0030964843176350763
1.3125,0.004811681134123623,0.010511410165221044,0.008647790029453593,0.0038361088953299703
1.375,0.0036771312726045467,0.010501526008933884,0.0074682182598817285,0.003791086987277182
1.5,0.004636172547846198,0.012075686552663613,0.010770148191353275,0.006133975643507077
1.5625,0.0046124301786261935,0.007741477906979093,0.005837518464914172,0.0012250882862879786
1.625,0.00452713203695909,0.006458517806214958,0.007464106121538262,0.002936974084579172
1.75,0.004429950504553215,0.005266222082159152,0.00477726457289605,0.00034731406834283447
1.875,0.0043487646656415755,0.006041694669133978,0.0048545183588311015,0.000505753693189526
