field,selected_rank,captured_energy,mean_training_projection_error,maximum_training_projection_error,training_cases,reserved_test_cases,random_state
bulk,6,0.9872537158569077,0.0022031825286574383,0.003012899443728455,90,10,1042
small,3,0.9980866847697059,0.006675537839714924,0.01370337251438826,90,10,2042
large,3,0.9977001722247177,0.007589629524182705,0.012738932348410973,90,10,3042
