fold,rank,training_index,size_ratio,captured_energy,projection_error,surrogate_error,excess_error
1,1,1,1.010101,0.9640681463938505,0.0722939573183061,0.07229979217114652,5.834852840419513e-06
1,1,6,1.060606,0.9640681463938505,0.04283363474639209,0.042835186267560096,1.5515211680069974e-06
1,1,11,1.111111,0.9640681463938505,0.011179726608939048,0.011754231558735746,0.0005745049497966979
1,1,16,1.161616,0.9640681463938505,0.01576214757022298,0.017121640710719782,0.0013594931404968015
1,1,21,1.212121,0.9640681463938505,0.032909758764700044,0.03561094378365487,0.0027011850189548256
1,1,26,1.262626,0.9640681463938505,0.040586996794427385,0.04291330602432747,0.0023263092299000837
1,1,31,1.313131,0.9640681463938505,0.04415903833576122,0.04448555760579061,0.0003265192700293851
1,1,36,1.363636,0.9640681463938505,0.03603591316023891,0.03615293006795872,0.00011701690771981355
1,1,41,1.414141,0.9640681463938505,0.030621786027958425,0.030873713682765907,0.00025192765480748155
1,1,46,1.464646,0.9640681463938505,0.027649451009825847,0.028542819098811324,0.0008933680889854773
1,1,51,1.515152,0.9640681463938505,0.022196582453773785,0.022854124973687016,0.0006575425199132311
1,1,56,1.565657,0.9640681463938505,0.02103134721616386,0.023347273670743053,0.002315926454579193
1,1,61,1.616162,0.9640681463938505,0.008876844093274975,0.010718470136896722,0.0018416260436217476
1,1,66,1.666667,0.9640681463938505,0.008660900709670127,0.009871212986275817,0.0012103122766056896
1,1,71,1.717172,0.9640681463938505,0.010391152629614264,0.010534727098087195,0.00014357446847293107
1,1,76,1.767677,0.9640681463938505,0.015836853886797883,0.017751157528302353,0.0019143036415044702
1,1,81,1.818182,0.9640681463938505,0.01894777022992518,0.01903072735876378,8.295712883860107e-05
1,1,86,1.868687,0.9640681463938505,0.02616658011625418,0.026190513149328486,2.3933033074304e-05
1,1,91,1.919192,0.9640681463938505,0.02890000536646753,0.028998596667557403,9.859130108987382e-05
1,1,96,1.969697,0.9640681463938505,0.03222043752351271,0.0323165193705798,9.608184706708794e-05
1,2,1,1.010101,0.9966621541355719,0.013771234556057428,0.013965228134384656,0.00019399357832722806
1,2,6,1.060606,0.9966621541355719,0.013152223915928622,0.014741571360683964,0.0015893474447553416
1,2,11,1.111111,0.9966621541355719,0.008938057494594415,0.009647668899086628,0.0007096114044922129
1,2,16,1.161616,0.9966621541355719,0.011996407672936778,0.014208975702727833,0.002212568029791055
1,2,21,1.212121,0.9966621541355719,0.014584949882104256,0.020495156713883866,0.00591020683177961
1,2,26,1.262626,0.9966621541355719,0.01133635449152344,0.018088783914789474,0.006752429423266034
1,2,31,1.313131,0.9966621541355719,0.011066135960409017,0.013025011490839681,0.0019588755304306635
1,2,36,1.363636,0.9966621541355719,0.0050942653734099,0.005875489071755391,0.000781223698345491
1,2,41,1.414141,0.9966621541355719,0.006199112311698015,0.007345731649313993,0.0011466193376159775
1,2,46,1.464646,0.9966621541355719,0.009529348451514503,0.011877843401974168,0.0023484949504596654
1,2,51,1.515152,0.9966621541355719,0.008399983890942358,0.010097043629412864,0.001697059738470506
1,2,56,1.565657,0.9966621541355719,0.009855826891040552,0.015073990926554476,0.005218164035513924
1,2,61,1.616162,0.9966621541355719,0.008365236134998798,0.010944578444785009,0.0025793423097862107
1,2,66,1.666667,0.9966621541355719,0.007232869768080862,0.00916271641351,0.001929846645429138
1,2,71,1.717172,0.9966621541355719,0.008278339186905508,0.008878052172959538,0.0005997129860540306
1,2,76,1.767677,0.9966621541355719,0.006008532898003975,0.010150600802892706,0.004142067904888732
1,2,81,1.818182,0.9966621541355719,0.004864900382175301,0.00521916381266986,0.0003542634304945589
1,2,86,1.868687,0.9966621541355719,0.006263953693303254,0.006424266056849578,0.00016031236354632338
1,2,91,1.919192,0.9966621541355719,0.006996903922188472,0.007453150877644893,0.000456246955456421
1,2,96,1.969697,0.9966621541355719,0.007182930794202141,0.0079901211860331,0.0008071903918309585
1,3,1,1.010101,0.9980696719910046,0.012167212118632368,0.01449130975202044,0.002324097633388072
