metric,mean_exact_value,mean_rom_value,mean_absolute_error,maximum_absolute_error,root_mean_squared_error
normalised_l1_separation,0.41440143706288274,0.4133001116692722,0.003289473205853259,0.007787793961132605,0.003993196284139806
overlap_fraction,0.5856346379455726,0.5866998883307277,0.003282168091444915,0.007769588326056842,0.003995908475627216
small_large_spatial_correlation,0.2767695630791522,0.3644630310173404,0.0876934679381882,0.1251726872176802,0.09287444943716351
centre_of_mass_separation,1.255840050703986,1.25360568240751,0.011572294933590655,0.02002203982506523,0.013443199704006838
