field,fold,rank,original_index,size_ratio,captured_energy,projection_error,surrogate_error,excess_error
bulk,1,2,90,1.909091,0.9741817785530885,0.0030831965415644424,0.0043839671034560735,0.001300770561891631
bulk,1,2,96,1.969697,0.9741817785530885,0.003810424528548208,0.004319060069428535,0.0005086355408803274
bulk,1,3,1,1.010101,0.9808058774885826,0.004639727281523548,0.005104480540980363,0.0004647532594568146
bulk,1,3,7,1.070707,0.9808058774885826,0.0031258273153830776,0.004151536119728476,0.0010257088043453986
bulk,1,3,12,1.121212,0.9808058774885826,0.0030225424448367378,0.0035218490452388175,0.0004993066004020798
bulk,1,3,18,1.181818,0.9808058774885826,0.002324883975067286,0.005822984666238633,0.003498100691171347
bulk,1,3,23,1.232323,0.9808058774885826,0.0031121428799915788,0.00595711642234134,0.0028449735423497612
bulk,1,3,29,1.292929,0.9808058774885826,0.0029575435901380235,0.00319240613181986,0.00023486254168183672
bulk,1,3,34,1.343434,0.9808058774885826,0.003054684447489168,0.00449104254356462,0.0014363580960754523
bulk,1,3,40,1.40404,0.9808058774885826,0.003206540902362679,0.00339264520365075,0.00018610430128807118
bulk,1,3,46,1.464646,0.9808058774885826,0.0027916753594230165,0.0048912493545407625,0.002099573995117746
bulk,1,3,51,1.515152,0.9808058774885826,0.0023282991663571466,0.0027444443068599315,0.0004161451405027849
bulk,1,3,57,1.575758,0.9808058774885826,0.0033177596923184304,0.00437844383568083,0.0010606841433623997
bulk,1,3,62,1.626263,0.9808058774885826,0.0034369864601286005,0.004351957813068514,0.0009149713529399131
bulk,1,3,68,1.686869,0.9808058774885826,0.0028515791500288686,0.004212118300333,0.0013605391503041311
bulk,1,3,73,1.737374,0.9808058774885826,0.0023123056864554473,0.0034862086891728128,0.0011739030027173654
bulk,1,3,79,1.79798,0.9808058774885826,0.0023029507140144324,0.0038240840234808364,0.001521133309466404
bulk,1,3,84,1.848485,0.9808058774885826,0.0026812934517227334,0.004244026349211978,0.0015627328974892442
bulk,1,3,90,1.909091,0.9808058774885826,0.0028768605606000015,0.00429193434722924,0.0014150737866292385
bulk,1,3,96,1.969697,0.9808058774885826,0.002599988034007879,0.0033159806064725467,0.0007159925724646676
bulk,1,4,1,1.010101,0.9840588726773075,0.003839160213346444,0.004419756697339376,0.0005805964839929317
bulk,1,4,7,1.070707,0.9840588726773075,0.003011109150109917,0.00417380894196705,0.0011626997918571325
bulk,1,4,12,1.121212,0.9840588726773075,0.002915151077333136,0.003980881535588919,0.0010657304582557831
