model,number_of_predictions,mean_time_ms,median_time_ms,percentile_95_time_ms,minimum_time_ms,maximum_time_ms
rank_4_neural,2000,0.480860256269807,0.42151699744863436,0.7264600950293243,0.40712099871598184,2.1690240100724623
rank_6_neural,2000,0.4845807154197246,0.42629499512258917,0.7377486872428561,0.40870999509934336,1.4715580036863685
