field,preliminary_rank,minimum_error_rank,minimum_mean_cv_error,standard_error_at_minimum,one_standard_error_threshold,selected_one_se_rank,selected_mean_cv_error,selected_standard_error,selected_captured_energy,selected_projection_error
bulk,8,6,0.0036641541298060762,8.107618318304286e-06,0.0036722617481243806,6,0.0036641541298060762,8.107618318304286e-06,0.9876190321900465,0.0024390645688554193
small,6,3,0.009219869802302817,2.459174271268087e-05,0.009244461545015497,3,0.009219869802302817,2.459174271268087e-05,0.9981196911527587,0.006936616423111375
large,8,3,0.010205030740989673,1.9987153304344283e-05,0.010225017894294017,3,0.010205030740989673,1.9987153304344283e-05,0.9977436154002164,0.00788906427551764
