size_ratio,coefficient_1,coefficient_2,coefficient_3,coefficient_4,coefficient_5,coefficient_6
1.0,-5.159144455283471,-0.9140146045167311,-0.20276006432799137,0.1401232745510261,-0.08644090708343832,0.008908306539564556
1.010101,-4.951658331212789,-0.8742072324159798,-0.08043951581524351,-0.022815481319577936,0.05426539799444022,0.03218790266341229
1.020202,-4.766844974878123,-0.8821661001870232,-0.13201250832214384,0.08663260723116495,0.06301486014224271,-0.024783952850003715
1.030303,-4.867479631923464,-0.7142690856660306,-0.0665991180469451,-0.0002809824714895036,-0.025711487267920947,-0.009537398801284146
1.040404,-4.540977665776426,-0.5765922028984827,-0.04876646275474432,0.060884095660278845,-0.03149769984357343,0.029071367092815773
1.050505,-4.335397635062769,-0.6554451548980018,0.08119767735619739,-0.001063830729426294,0.11707990190933384,0.05893458621148687
1.060606,-4.17757290175537,-0.5026317361925189,-0.10250567467168756,-0.012739612639900758,0.038176784732943,-0.06278989353898544
1.070707,-4.01059688210099,-0.513708122836563,-0.04952649643130161,-0.0006825457296606828,-0.002967875636236604,0.01703606841497766
1.080808,-3.9152537931854434,-0.3575145290181759,-0.07122967773378168,-0.08531130097813858,-0.04929335638786565,0.031661221849690745
1.090909,-3.7275241889342117,-0.16214272596112145,0.038628045943803944,-0.010687041896394777,-0.025094335585940663,-0.015273271001480156
1.10101,-3.5620273742255955,-0.18585649324212136,0.010050527934148406,0.0006818716573921479,-0.023457913752613618,0.009014156679670864
1.111111,-3.315692533997677,-0.07461460436428641,0.05400034989433043,0.01724927227385154,0.018444947730508275,-0.04510253404811488
1.121212,-3.162329556537866,0.03867446363854587,0.12980838212247625,-0.07362973502303606,0.03860229367936286,0.020375049756534102
1.131313,-3.1303030954052966,0.04077851100691978,0.0334772853591023,-0.016063309730248658,0.0031946905443210652,-0.015704748878986666
1.141414,-3.030563879320996,0.04716414877794564,-0.012870443025472992,-0.11854052941059241,-0.020834088660549376,-0.04149282427577848
1.151515,-2.732023241628883,0.1417757241518277,0.1297127565671365,0.02069294345293615,0.05591713621242451,-0.004931484175373484
1.161616,-2.6871160008631976,0.14028893898247297,0.05047352488034591,-0.11969108041904736,-0.0321926153557699,0.008731063447936966
1.171717,-2.468034224397772,0.23510158827681343,0.09167595720584476,-0.12564626670962556,-0.040986613258586206,-0.04127798656404283
1.181818,-2.3479066794312353,0.3108620416933223,0.11510629510710726,-0.016754235567805094,-0.029300091484485386,0.040232316308324106
1.191919,-2.119630537370286,0.2633589592712191,0.0940573007262983,0.046712807581283974,0.03389991484383757,-0.049235843911979715
1.20202,-2.12449721675635,0.4282627393164213,0.04717271777934537,-0.0018177165342987025,-0.06793766135590398,-0.05430348102304298
1.212121,-2.0863259979924007,0.39764675270512645,0.16632499681272941,-0.026770387663148723,-0.01725453762655281,0.038662156204081984
1.222222,-1.688597461875752,0.4884001003003729,0.03134180546869914,-0.03207248589442546,-0.06838196306919625,-0.025014878714543057
1.232323,-1.7658515770478533,0.4187218301825743,0.15067098634041998,0.04002523753383182,0.02229716874265467,0.028526309263034483
1.242424,-1.4641296982635574,0.4800870727865417,0.09308538508340022,-0.027018193582321895,-0.01094095132188609,-0.037309464372750324
1.252525,-1.4075359891811556,0.49115203537179375,0.0962017649158422,-0.02924461166766673,-0.011485770129500106,0.008720965367266673
1.262626,-1.1124553264163015,0.5341589756458115,0.10373233174802873,0.0702272142448912,0.008725074154790867,-0.03946561085556554
1.272727,-1.1961644301583927,0.5167903246675027,0.08035445268264073,-0.0611747100452913,0.02153169627783395,0.011458322680341934
1.282828,-1.074802376859249,0.5172319617475445,0.021923602597005706,-0.04643690356981763,-0.01876216237795041,0.03745988048647416
1.292929,-0.8276942277674263,0.5344948774287052,-0.0032680006537799213,0.017676212559902572,-0.06431747790744577,0.029428502922125357
1.30303,-0.6657615329091403,0.5603386219464446,0.03633142741455358,-0.0051359383239064586,-0.04088030447529665,-0.0024362172653307887
1.313131,-0.6319641187508422,0.5928672110154896,0.04096180937428256,0.1090885903673779,-0.01746544400616068,0.00801692817199768
1.323232,-0.45017625272692224,0.5039233870873634,0.03369078279906595,0.07559743992736417,0.037432395105212304,-0.021939504496445664
1.333333,-0.5469345385420468,0.5043982220788298,0.025928135765696272,-0.00834879551665568,-0.027342273082506963,-0.004035858717882985
1.343434,-0.43971398623995206,0.5616074766611038,0.056156410117543555,-0.012057093775463391,-0.006175380539532205,0.05767062227378739
