fold,rank,training_index,size_ratio,captured_energy,projection_error,surrogate_error,excess_error
1,1,1,1.010101,0.9640681463938505,0.0722939573183061,0.0723634406638467,6.94833455406052e-05
1,1,6,1.060606,0.9640681463938505,0.04283363474639209,0.042838670009302894,5.035262910804694e-06
1,1,11,1.111111,0.9640681463938505,0.011179726608939048,0.014042257480990836,0.0028625308720517887
1,1,16,1.161616,0.9640681463938505,0.01576214757022298,0.015867157349697465,0.00010500977947448462
1,1,21,1.212121,0.9640681463938505,0.032909758764700044,0.03484699904498881,0.0019372402802887642
1,1,26,1.262626,0.9640681463938505,0.040586996794427385,0.04215805636605837,0.0015710595716309853
1,1,31,1.313131,0.9640681463938505,0.04415903833576122,0.04427176046807291,0.00011272213231168504
1,1,36,1.363636,0.9640681463938505,0.03603591316023891,0.03609075563393698,5.484247369807321e-05
1,1,41,1.414141,0.9640681463938505,0.030621786027958425,0.030622074986321045,2.889583626194958e-07
1,1,46,1.464646,0.9640681463938505,0.027649451009825847,0.02798077645473136,0.0003313254449055121
1,1,51,1.515152,0.9640681463938505,0.022196582453773785,0.0222276751834695,3.10927296957135e-05
1,1,56,1.565657,0.9640681463938505,0.02103134721616386,0.02349989043242163,0.0024685432162577688
1,1,61,1.616162,0.9640681463938505,0.008876844093274975,0.009491030617958664,0.0006141865246836898
1,1,66,1.666667,0.9640681463938505,0.008660900709670127,0.009268288513194943,0.0006073878035248153
1,1,71,1.717172,0.9640681463938505,0.010391152629614264,0.010474888264082893,8.373563446862839e-05
1,1,76,1.767677,0.9640681463938505,0.015836853886797883,0.01606494340181206,0.0002280895150141779
1,1,81,1.818182,0.9640681463938505,0.01894777022992518,0.01894961715221964,1.846922294462816e-06
1,1,86,1.868687,0.9640681463938505,0.02616658011625418,0.02618718139001608,2.0601273761897132e-05
1,1,91,1.919192,0.9640681463938505,0.02890000536646753,0.02892801719255455,2.801182608701963e-05
1,1,96,1.969697,0.9640681463938505,0.03222043752351271,0.03225769809315054,3.726056963782726e-05
1,2,1,1.010101,0.9966621541355719,0.013771234556057428,0.014172019291103347,0.0004007847350459195
1,2,6,1.060606,0.9966621541355719,0.013152223915928622,0.014312951606367407,0.0011607276904387846
1,2,11,1.111111,0.9966621541355719,0.008938057494594415,0.012163542154225854,0.0032254846596314387
1,2,16,1.161616,0.9966621541355719,0.011996407672936778,0.01514323541226268,0.003146827739325902
1,2,21,1.212121,0.9966621541355719,0.014584949882104256,0.02298952430406028,0.008404574421956025
1,2,26,1.262626,0.9966621541355719,0.01133635449152344,0.01410551352743813,0.00276915903591469
1,2,31,1.313131,0.9966621541355719,0.011066135960409017,0.01257281019862446,0.0015066742382154434
1,2,36,1.363636,0.9966621541355719,0.0050942653734099,0.006354565815065415,0.001260300441655515
1,2,41,1.414141,0.9966621541355719,0.006199112311698015,0.006647007430255291,0.0004478951185572762
1,2,46,1.464646,0.9966621541355719,0.009529348451514503,0.009809086102826806,0.0002797376513123031
1,2,51,1.515152,0.9966621541355719,0.008399983890942358,0.008553988655584191,0.00015400476464183348
1,2,56,1.565657,0.9966621541355719,0.009855826891040552,0.015436301177809936,0.0055804742867693845
1,2,61,1.616162,0.9966621541355719,0.008365236134998798,0.009189566047467798,0.000824329912469
1,2,66,1.666667,0.9966621541355719,0.007232869768080862,0.008209233456149184,0.000976363688068322
1,2,71,1.717172,0.9966621541355719,0.008278339186905508,0.008882715290664162,0.0006043761037586547
1,2,76,1.767677,0.9966621541355719,0.006008532898003975,0.006953159066687265,0.00094462616868329
1,2,81,1.818182,0.9966621541355719,0.004864900382175301,0.005301562367915474,0.00043666198574017316
1,2,86,1.868687,0.9966621541355719,0.006263953693303254,0.006286496470846233,2.2542777542978315e-05
1,2,91,1.919192,0.9966621541355719,0.006996903922188472,0.00710222369617056,0.00010531977398208804
1,2,96,1.969697,0.9966621541355719,0.007182930794202141,0.007510357343036383,0.00032742654883424153
1,3,1,1.010101,0.9980696719910046,0.012167212118632368,0.012972030068152257,0.0008048179495198891
1,3,6,1.060606,0.9980696719910046,0.010388935646877285,0.011781626027617802,0.0013926903807405175
1,3,11,1.111111,0.9980696719910046,0.00790666675003958,0.009653341546045597,0.0017466747960060165
1,3,16,1.161616,0.9980696719910046,0.011336173311141296,0.013078887220135671,0.0017427139089943745
1,3,21,1.212121,0.9980696719910046,0.007355528312343535,0.013899483498972088,0.0065439551866285535
1,3,26,1.262626,0.9980696719910046,0.008201097427656914,0.017303129276020256,0.009102031848363341
1,3,31,1.313131,0.9980696719910046,0.010568520800400386,0.01306280486862287,0.0024942840682224843
1,3,36,1.363636,0.9980696719910046,0.004626087846841089,0.00562281694819171,0.0009967291013506215
1,3,41,1.414141,0.9980696719910046,0.005844289479932859,0.006747338232551579,0.00090304875261872
1,3,46,1.464646,0.9980696719910046,0.009507388517202734,0.013354142055703414,0.0038467535385006794
1,3,51,1.515152,0.9980696719910046,0.004477784106547465,0.007571622645482656,0.0030938385389351914
1,3,56,1.565657,0.9980696719910046,0.008439264542619038,0.017667081804358064,0.009227817261739026
1,3,61,1.616162,0.9980696719910046,0.006271459707474256,0.006805690267823993,0.0005342305603497364
1,3,66,1.666667,0.9980696719910046,0.0071346375800915695,0.009461951772692255,0.002327314192600686
1,3,71,1.717172,0.9980696719910046,0.006268146433060416,0.00689348824034826,0.000625341807287844
1,3,76,1.767677,0.9980696719910046,0.00599940071172348,0.0063425712634848095,0.0003431705517613296
1,3,81,1.818182,0.9980696719910046,0.004846554439861125,0.005804610786682626,0.0009580563468215009
1,3,86,1.868687,0.9980696719910046,0.004917985987735941,0.005860900814519067,0.0009429148267831259
1,3,91,1.919192,0.9980696719910046,0.0059351805457901075,0.006738085396646505,0.0008029048508563976
1,3,96,1.969697,0.9980696719910046,0.004454301172667507,0.005589008013418445,0.0011347068407509377
1,4,1,1.010101,0.9985782001593143,0.01169062626182417,0.01515580292878427,0.0034651766669600986
1,4,6,1.060606,0.9985782001593143,0.01017165160183111,0.012653187886110204,0.0024815362842790945
1,4,11,1.111111,0.9985782001593143,0.007844334669353291,0.009177667820792056,0.001333333151438765
1,4,16,1.161616,0.9985782001593143,0.007231676185530372,0.011089839562978323,0.003858163377447951
1,4,21,1.212121,0.9985782001593143,0.007206280253553244,0.014851814474392674,0.00764553422083943
1,4,26,1.262626,0.9985782001593143,0.005907809618816621,0.015398171908455565,0.009490362289638943
1,4,31,1.313131,0.9985782001593143,0.006833810978462537,0.010698863814768702,0.003865052836306165
1,4,36,1.363636,0.9985782001593143,0.0043378741231419994,0.0056566522162288975,0.001318778093086898
1,4,41,1.414141,0.9985782001593143,0.005694222325162503,0.006181625012186341,0.0004874026870238376
1,4,46,1.464646,0.9985782001593143,0.007446220832115106,0.009827549970012823,0.0023813291378977173
1,4,51,1.515152,0.9985782001593143,0.004477626532035817,0.006037704368444331,0.0015600778364085145
1,4,56,1.565657,0.9985782001593143,0.006250540440187334,0.014711432525278971,0.008460892085091636
1,4,61,1.616162,0.9985782001593143,0.005252270414759064,0.008135004756230111,0.0028827343414710473
1,4,66,1.666667,0.9985782001593143,0.007133570831603744,0.010316976447654292,0.0031834056160505485
1,4,71,1.717172,0.9985782001593143,0.0051050814394872695,0.005612301218318542,0.0005072197788312726
1,4,76,1.767677,0.9985782001593143,0.005432809960087769,0.006706606297603236,0.0012737963375154667
1,4,81,1.818182,0.9985782001593143,0.004720505927163037,0.005389756319260927,0.0006692503920978895
1,4,86,1.868687,0.9985782001593143,0.00466612819066616,0.005101791729952655,0.000435663539286495
1,4,91,1.919192,0.9985782001593143,0.004687332819558128,0.0075345329783867415,0.0028472001588286137
1,4,96,1.969697,0.9985782001593143,0.0042602996365979666,0.007215915074206714,0.002955615437608748
1,6,1,1.010101,0.9990634990458154,0.01052290983382462,0.016970298961681927,0.006447389127857308
1,6,6,1.060606,0.9990634990458154,0.008603077495075127,0.012003072226729963,0.0033999947316548356
1,6,11,1.111111,0.9990634990458154,0.007189625944648745,0.00953042234962579,0.002340796404977045
1,6,16,1.161616,0.9990634990458154,0.006977023460571297,0.01007160519096131,0.003094581730390013
1,6,21,1.212121,0.9990634990458154,0.006366291700334612,0.013576489906684055,0.007210198206349443
1,6,26,1.262626,0.9990634990458154,0.005551072688646935,0.014603085584546106,0.00905201289589917
1,6,31,1.313131,0.9990634990458154,0.0064214704583984246,0.009862187792984936,0.0034407173345865115
1,6,36,1.363636,0.9990634990458154,0.0038200333525783003,0.005622025348133764,0.0018019919955554638
1,6,41,1.414141,0.9990634990458154,0.004719806544122614,0.006615370262395413,0.0018955637182727992
1,6,46,1.464646,0.9990634990458154,0.005159334365722721,0.010168985166114431,0.00500965080039171
1,6,51,1.515152,0.9990634990458154,0.00420597588063483,0.005598766339847746,0.0013927904592129165
1,6,56,1.565657,0.9990634990458154,0.006179330481683957,0.014038806941830297,0.00785947646014634
1,6,61,1.616162,0.9990634990458154,0.004693181165939224,0.00847663949829617,0.003783458332356945
1,6,66,1.666667,0.9990634990458154,0.004714463048582332,0.010747125425845914,0.006032662377263582
1,6,71,1.717172,0.9990634990458154,0.004753766379362775,0.0058599845106132795,0.0011062181312505043
1,6,76,1.767677,0.9990634990458154,0.004548626239491189,0.0062660748285586244,0.0017174485890674353
1,6,81,1.818182,0.9990634990458154,0.004388184096619323,0.005579557414510066,0.0011913733178907432
1,6,86,1.868687,0.9990634990458154,0.0037057239592595418,0.005457759618945206,0.0017520356596856645
1,6,91,1.919192,0.9990634990458154,0.003919116655216751,0.007338186225347981,0.00341906957013123
1,6,96,1.969697,0.9990634990458154,0.0038947876755506903,0.007140008822287691,0.0032452211467370005
1,8,1,1.010101,0.9993765835198967,0.00853130637296572,0.016466846248151135,0.007935539875185416
1,8,6,1.060606,0.9993765835198967,0.007123187983496254,0.011835052290419004,0.00471186430692275
1,8,11,1.111111,0.9993765835198967,0.006532542934820543,0.008865516616832209,0.0023329736820116662
1,8,16,1.161616,0.9993765835198967,0.005898715002719232,0.011829289775712567,0.005930574772993335
1,8,21,1.212121,0.9993765835198967,0.005995631941693672,0.014251111494610141,0.00825547955291647
1,8,26,1.262626,0.9993765835198967,0.004576587818245192,0.01709838483877564,0.012521797020530448
