size_ratio,exact_normalised_l1_separation,rom_normalised_l1_separation,absolute_error_normalised_l1_separation,exact_overlap_fraction,rom_overlap_fraction,absolute_error_overlap_fraction,exact_small_large_spatial_correlation,rom_small_large_spatial_correlation,absolute_error_small_large_spatial_correlation,exact_centre_of_mass_separation,rom_centre_of_mass_separation,absolute_error_centre_of_mass_separation
1.050505,0.0997269769418318,0.09705579273922489,0.0026711842026069105,0.9002957657524119,0.9029442072607751,0.0026484415083631863,0.9288693880836966,0.9440564144413118,0.015187026357615263,0.3314498464870721,0.3413974800536236,0.009947633566551484
1.151515,0.2142197115092318,0.2118447864686399,0.002374925040591891,0.7857807800920218,0.7881552135313602,0.002374433439338408,0.6801492220656744,0.7527656661664401,0.07261644410076573,0.7376275011303559,0.7230373595324273,0.014590141597928596
1.252525,0.3087417277668244,0.30762175718845103,0.0011199705783733749,0.6913009386200564,0.6923782428115489,0.0010773041914925452,0.4702829224001471,0.5545754346517312,0.08429251225158413,1.014062493965575,1.0300965070211803,0.016034013055605367
1.353535,0.3939400356261064,0.39026926241919824,0.0036707732069081733,0.6060889463701356,0.6097307375808015,0.00364179121066599,0.264515542970033,0.3896882301877132,0.1251726872176802,1.248564480314062,1.248362925866471,0.000201554447591068
1.454545,0.4506012957139427,0.4508686509533912,0.0002673552394484857,0.5494272618894863,0.5491313490466087,0.00029591284287766584,0.1928631915705304,0.2788945215645116,0.08603132999398122,1.4101797597353891,1.392085853892534,0.018093905842855085
1.555556,0.4927635448678362,0.49210342031650184,0.0006601245513343512,0.507314402072184,0.5078965796834982,0.000582177611314183,0.087653136211185,0.2086118766491122,0.1209587404379272,1.473792049330806,1.4757628455792522,0.001970796248446094
1.656566,0.5152830340940795,0.5210504442326761,0.005767410138596607,0.4847517159972605,0.47894955576732384,0.0058021602299366815,0.0987071372331615,0.16260630280295207,0.06389916556979057,1.5271987857541114,1.5306300302069655,0.003431244452854143
1.757576,0.5488217656944986,0.541033971733366,0.007787793961132605,0.4511964399405772,0.458966028266634,0.007769588326056842,0.0244252315719688,0.13476979410968068,0.11034456253771188,1.5871131302863792,1.567091090461314,0.02002203982506523
1.858586,0.5501091059468567,0.5550150796300252,0.004905973683168474,0.4499714358286097,0.4449849203699748,0.0049865154586349325,0.016853466225477,0.11646134768176396,0.09960788145628696,1.609707368155834,1.5935816937189407,0.01612567443689339
1.959596,0.5698071724676198,0.5661379510112481,0.0036692214563717185,0.4302186928929831,0.4338620489887518,0.0036433560957687128,0.0033763924596481,0.10220072191818702,0.09882432945853892,1.618705091880276,1.634011037742392,0.015305945862116088
