model,training_cv_mean_error,test_mean_error,test_median_error,test_maximum_error
rank_6_projection_floor,,0.005034891678365879,0.004624301363236195,0.007215174135645699
linear_interpolation,0.010390508952553473,0.00982134610265746,0.009762429702903069,0.019061439883685003
mlp_16_alpha_1e-1,0.009047225229007975,0.008392984711073848,0.00805800414466766,0.013041642704225476
