field,rank,relative_l2_error_percent,normalised_l1_error_percent,active_bed_rmse,correlation,field_integral,integral_error_percent,field_centroid_error,maximum_volume_fraction,grid_fraction_phi_gt_one_percent,route,error_multiple_of_cycle_variation,maximum_over_true_maximum,minimum_volume_fraction,grid_fraction_phi_lt_zero_percent
CG then POD,0,1.8068546955354137,1.456135484400659,0.003919734491581558,0.9997771296811991,282.79829005455207,2.0066557326347255e-06,0.04952891568000152,0.2994535747739953,0.0,CG then POD,1.0,1.0021219250959017,0.0,0.0
Particle POD then CG,0,580.7255460367719,183.7390886990635,1.2604573937442811,0.18241861216462843,282.79822534767993,-2.087427237472353e-05,0.04952858442814873,17.23128908574338,1.09,Particle POD then CG,321.40135422715286,57.66453983233164,0.0,0.0
CG then POD,8,1.756267851690107,1.4437206325315082,0.0038099922444525527,0.9997894022300788,282.79828547467497,3.871702715291623e-07,0.026334341942763333,0.301902098215305,0.0,CG then POD,0.9720028157381428,1.0103159131840371,-2.329806423230217e-18,0.45999999999999996
Particle POD then CG,8,82.5671170126292,65.44093890208553,0.1791373120731564,0.7453180673451267,282.03495970132593,-0.2699184261716027,0.031208994477019483,1.0114053080368803,0.06999999999999999,Particle POD then CG,45.696600405470136,3.3846696774519494,0.0,0.0
CG then POD,14,1.7235489359949305,1.4018907340599862,0.003738965255803396,0.9997972183088452,282.79828616905553,6.327094415015567e-07,0.028332849105503353,0.3028640663470922,0.0,CG then POD,0.9538945994128224,1.0135351412624964,-2.76492057694165e-18,0.45999999999999996
Particle POD then CG,14,79.7048896744092,63.10687403783336,0.17293514985052774,0.7571806542613612,281.9726825144059,-0.2919401958780968,0.060864293017762326,0.9975994093275805,0.0,Particle POD then CG,44.11250659577292,3.338468212658335,0.0,0.0
CG then POD,27,1.6715817418897696,1.3537971123221426,0.0036262191441347722,0.999809301967326,282.7982888634682,1.585477835253944e-06,0.023868618924559548,0.3026358242827247,0.0,CG then POD,0.9251334631501403,1.0127713287847044,-4.2128455108886815e-18,0.48
Particle POD then CG,27,77.94493966719341,61.80524591888885,0.16911774554600129,0.7635420859851393,281.8314545513807,-0.3418796653960714,0.06690593991127691,0.967091990166215,0.0,Particle POD then CG,43.138465898662915,3.2363750797152115,0.0,0.0
CG then POD,100,1.5915891820559351,1.296963168348753,0.003452536173781732,0.999827158760377,282.7982902945303,2.091514185490827e-06,0.02722814355759097,0.30140275565639324,0.0,CG then POD,0.8808617460986865,1.0086448624149933,-3.818689155424343e-06,0.76
Particle POD then CG,100,75.22211881715891,60.174788782274355,0.16320639741345444,0.7737640763619712,281.8612896023425,-0.3313297248166229,0.06022011672595532,0.9276471767526051,0.0,Particle POD then CG,41.63152632197069,3.1043729408764,0.0,0.0
