field,parameter_step,mean_relative_adjacent_change,maximum_relative_adjacent_change,minimum_relative_adjacent_change
bulk,0.005,0.0003739547282624451,0.0006469526783349538,0.0002538436462644052
small,0.005,0.002916804310563225,0.007142364479407829,0.0005461070035368778
large,0.005,0.003002066554518902,0.00731550937412489,0.0006601488493325361
