field,fold,rank,original_index,size_ratio,captured_energy,projection_error,surrogate_error,excess_error,random_state
bulk,1,1,1,1.010101,0.9457373279857374,0.011427151973145654,0.011933039144970715,0.0005058871718250611,1101
bulk,1,1,7,1.070707,0.9457373279857374,0.007762244251042574,0.008198129333063093,0.0004358850820205193,1101
bulk,1,1,12,1.121212,0.9457373279857374,0.0031105140796033356,0.0035542730502190114,0.00044375897061567577,1101
bulk,1,1,18,1.181818,0.9457373279857374,0.002443813065414581,0.0024517993510034092,7.986285588828385e-06,1101
bulk,1,1,23,1.232323,0.9457373279857374,0.003370931829724643,0.0037350372229748036,0.0003641053932501607,1101
bulk,1,1,29,1.292929,0.9457373279857374,0.0037053036572454678,0.0037053073305979025,3.673352434729882e-09,1101
bulk,1,1,34,1.343434,0.9457373279857374,0.004008566621479613,0.00500434956586641,0.0009957829443867968,1101
bulk,1,1,40,1.40404,0.9457373279857374,0.005228970117121139,0.005343211531729682,0.00011424141460854298,1101
bulk,1,1,46,1.464646,0.9457373279857374,0.004219824746318126,0.004527956544636583,0.00030813179831845703,1101
bulk,1,1,51,1.515152,0.9457373279857374,0.0037737773120480518,0.0037819810387219816,8.203726673929827e-06,1101
bulk,1,1,57,1.575758,0.9457373279857374,0.00451350888901258,0.004533283777874137,1.9774888861557455e-05,1101
bulk,1,1,62,1.626263,0.9457373279857374,0.0052405077329492344,0.005269705437687097,2.919770473786259e-05,1101
bulk,1,1,68,1.686869,0.9457373279857374,0.004040844181786479,0.004075494486578423,3.465030479194407e-05,1101
bulk,1,1,73,1.737374,0.9457373279857374,0.0029907072848825945,0.003519022416000841,0.0005283151311182466,1101
bulk,1,1,79,1.79798,0.9457373279857374,0.003004863977726902,0.0030335838037051617,2.8719825978259714e-05,1101
bulk,1,1,84,1.848485,0.9457373279857374,0.003077512239757036,0.0032864875574149873,0.0002089753176579513,1101
bulk,1,1,90,1.909091,0.9457373279857374,0.0037171762313987253,0.0037456357401012192,2.8459508702493967e-05,1101
bulk,1,1,96,1.969697,0.9457373279857374,0.0038231231604845617,0.004066536634112441,0.0002434134736278796,1101
bulk,1,2,1,1.010101,0.9741817785530885,0.005157179038547438,0.00578673290255915,0.0006295538640117117,1102
bulk,1,2,7,1.070707,0.9741817785530885,0.0031331418811569567,0.0041223660020138,0.0009892241208568435,1102
bulk,1,2,12,1.121212,0.9741817785530885,0.0030711115247151455,0.003415658319204867,0.00034454679448972167,1102
bulk,1,2,18,1.181818,0.9741817785530885,0.002355443281488443,0.003459743593842945,0.001104300312354502,1102
bulk,1,2,23,1.232323,0.9741817785530885,0.0032928771368662527,0.004436356714995766,0.0011434795781295136,1102
bulk,1,2,29,1.292929,0.9741817785530885,0.003039519802124382,0.003179343618851935,0.00013982381672755263,1102
bulk,1,2,34,1.343434,0.9741817785530885,0.0039668398271159545,0.005417018651650255,0.0014501788245343,1102
bulk,1,2,40,1.40404,0.9741817785530885,0.003374619712597547,0.00397366460444427,0.0005990448918467227,1102
bulk,1,2,46,1.464646,0.9741817785530885,0.0036625728644179584,0.005499639070142145,0.0018370662057241869,1102
bulk,1,2,51,1.515152,0.9741817785530885,0.003504988335592666,0.0035110021031291255,6.013767536459328e-06,1102
bulk,1,2,57,1.575758,0.9741817785530885,0.0033553841452042786,0.004127967238486245,0.0007725830932819666,1102
bulk,1,2,62,1.626263,0.9741817785530885,0.0037097673288288995,0.005032223419572097,0.0013224560907431977,1102
bulk,1,2,68,1.686869,0.9741817785530885,0.002853118724907065,0.004020139864896755,0.0011670211399896898,1102
bulk,1,2,73,1.737374,0.9741817785530885,0.0023827598511249066,0.0035032883921464354,0.0011205285410215288,1102
bulk,1,2,79,1.79798,0.9741817785530885,0.0027050598380293544,0.0029766647047262404,0.0002716048666968861,1102
bulk,1,2,84,1.848485,0.9741817785530885,0.0027991491794765538,0.003270144151224913,0.00047099497174835905,1102
bulk,1,2,90,1.909091,0.9741817785530885,0.0030831965415644424,0.0035185930970196766,0.0004353965554552341,1102
bulk,1,2,96,1.969697,0.9741817785530885,0.003810424528548208,0.004189800168972205,0.00037937564042399676,1102
bulk,1,3,1,1.010101,0.9808058774885826,0.004639727281523548,0.0052990627948082195,0.0006593355132846713,1103
bulk,1,3,7,1.070707,0.9808058774885826,0.0031258273153830776,0.004411849182114559,0.0012860218667314818,1103
bulk,1,3,12,1.121212,0.9808058774885826,0.0030225424448367378,0.003437223475979322,0.00041468103114258425,1103
bulk,1,3,18,1.181818,0.9808058774885826,0.002324883975067286,0.0037173453163403345,0.0013924613412730487,1103
