strategy,mean_bulk_error,mean_small_error,mean_large_error,mean_error_across_fields,maximum_error_across_all_cases,mean_identity_residual,maximum_identity_residual
bulk_small_derive_large,0.003925730298144943,0.009404110980873378,0.00997284244019605,0.007767561239738124,0.020261416894912978,0.0,0.0
independent_three_models,0.003925730298144943,0.009404110980873378,0.010103504791743097,0.007811115356920473,0.020261416894912978,0.0016468600953672599,0.002720953068531487
bulk_large_derive_small,0.003925730298144943,0.009509661163629283,0.010103504791743097,0.00784629875117244,0.021605229133848883,2.3450276481487403e-17,2.833351770835835e-17
small_large_derive_bulk,0.004290853456380521,0.009404110980873378,0.010103504791743097,0.007932823076332333,0.020261416894912978,6.307659437562398e-17,6.612262714558758e-17
