size_ratio,simulation_number,bulk_mean_phi,small_mean_phi,bulk_integrated_volume,small_integrated_volume,difference_integrated_volume,inferred_large_integrated_volume,bulk_to_small_integral_ratio,minimum_bulk_minus_small,maximum_bulk_minus_small,mean_absolute_bulk_small_difference,fraction_bulk_below_small,active_region_correlation,bulk_nonzero_fraction,small_nonzero_fraction
1.0,1,0.12984310537824334,0.06492155386066346,565.596567027628,282.7982886170501,282.7982784105779,282.7982784105779,1.999999963909003,0.0,0.286867,0.06492155151757986,0.0,0.9968412220787657,0.4194,0.4118
1.010101,2,0.12982644833152182,0.06491507096161235,565.5240089321092,282.77004910878344,282.7539598233258,282.7539598233258,1.9999431011682163,0.0,0.29925399999999996,0.06491137736990948,0.0,0.9942774922215856,0.4159,0.4139
1.020202,3,0.1298273686655178,0.06491197391396321,565.5280179069956,282.75655836922374,282.7714595377719,282.7714595377719,2.00005269963899,0.0,0.30224900000000005,0.06491539475155461,0.0,0.9915958794916641,0.415,0.4102
1.030303,4,0.1298262278364154,0.06491514316686822,565.5230484554255,282.770363634878,282.75268482054736,282.75268482054736,1.999937479960406,0.0,0.299102,0.06491108466954715,0.0,0.9923915246372856,0.4233,0.4213
1.040404,5,0.1298325811708683,0.06491794026685835,565.5507235803024,282.78254780243503,282.7681757778673,282.7681757778673,1.9999491764089425,0.0,0.30646499999999993,0.06491464090400995,0.0,0.9853416748879074,0.4158,0.4129
1.050505,6,0.12982966502772944,0.06491319267699769,565.5380208607895,282.7618673010019,282.7761535597877,282.7761535597877,2.0000505239936417,0.0,0.31499299999999997,0.06491647235073178,0.0,0.9825459159894927,0.4341,0.4314
1.060606,7,0.12982457704611247,0.06491262270210471,565.515857612866,282.7593844903681,282.7564731224979,282.7564731224979,1.999989703726808,0.0,0.314916,0.06491195434400777,0.0,0.97728960416471,0.4268,0.4149
1.070707,8,0.1298361491787518,0.0649190544453518,565.566265822643,282.78740116395244,282.77886465869057,282.77886465869057,1.999969812992988,0.0,0.318315,0.06491709473340003,0.0,0.9722140728981479,0.4149,0.412
1.080808,9,0.1298278114598759,0.0649159755762504,565.5299467192194,282.7739896101467,282.7559571090727,282.7559571090727,1.9999362299867154,0.0,0.32091600000000003,0.0649118358836255,0.0,0.9693473038222991,0.4305,0.4172
1.090909,10,0.12982797029462526,0.06491663393875381,565.5306386033876,282.7768574372116,282.753781166176,282.753781166176,1.9999183940607985,0.0,0.32629600000000003,0.06491133635587143,0.0,0.9605103348341328,0.4224,0.418
1.10101,11,0.12983257495547285,0.06491513309864672,565.5506965060398,282.7703197777051,282.7803767283347,282.7803767283347,2.0000355657928934,0.0,0.330463,0.06491744185682614,0.0,0.9552338562642041,0.4201,0.4152
1.111111,12,0.12983115904713124,0.0649160857920213,565.5445288093038,282.7744697100448,282.7700590992589,282.7700590992589,1.9999844023727094,0.0,0.33622199999999997,0.06491507325510994,0.0,0.9459223486505792,0.424,0.4224
1.121212,13,0.12983182386651293,0.06491634313562096,565.5474247625303,282.7755906987649,282.77183406376537,282.77183406376537,1.9999867151369388,0.0,0.34034100000000006,0.06491548073089196,0.0,0.9367151941517189,0.4168,0.4138
1.131313,14,0.1298260221292209,0.06491035114376964,565.5221523948863,282.7494895822606,282.77266281262575,282.77266281262575,2.0000819567540136,0.0,0.34225500000000003,0.06491567098545127,0.0,0.9358293000844065,0.416,0.4158
1.141414,15,0.1298301639050177,0.06491450015441423,565.5401939702571,282.7675626726284,282.7726312976287,282.7726312976287,2.0000179250581374,0.0,0.344029,0.06491566375060347,0.0,0.9336317419648931,0.4225,0.4205
1.151515,16,0.12982831445432985,0.06491411661548037,565.5321377630609,282.76589197703254,282.76624578602826,282.76624578602826,2.0000012512435403,0.0,0.35107,0.06491419783884947,0.0,0.9202531020381894,0.4189,0.4162
