rank,mean_captured_energy,mean_projection_error,maximum_projection_error,linear_mean_error,linear_maximum_error,neural_mean_error,neural_maximum_error,neural_mean_excess_error
1,0.9640430032908521,0.02640011780051338,0.0722939573183061,0.027147213699861932,0.07317721676664773,0.026893108948912697,0.0723634406638467,0.0004929911483993201
2,0.9967137245761,0.008758476087898646,0.016974403521097532,0.010997844537358421,0.02065442665337092,0.010574964976033364,0.02298952430406028,0.0018164888881347177
3,0.9980682556445899,0.006986876701519526,0.01524147400751246,0.01014548013670162,0.022715090955261783,0.009334789147280654,0.020578069878087184,0.002347912445761128
4,0.9985939095925894,0.006138253647861964,0.015237351315254683,0.010235485713204422,0.022673130264018786,0.00921387276557566,0.020347832248774688,0.0030756191177136964
6,0.9990635697577807,0.005280593136557312,0.012937477539263506,0.01049060474527578,0.023109664117077322,0.009156959010713658,0.02030043803616876,0.0038763658741563472
8,0.9993681067752516,0.004438235733173024,0.010505327649164039,0.010594543121278456,0.022934889327661696,0.009314644991519868,0.022317588764886116,0.004876409258346845
10,0.9995022583541371,0.0040736506911571,0.009615827757019016,0.010685442903411429,0.02332422940561124,0.00959443258885721,0.020110721010985124,0.00552078189770011
15,0.9996778803181207,0.003575759635948184,0.008251444794992378,0.010760573148544075,0.023327183573115622,0.010437852047107404,0.02400719715823603,0.0068620924111592214
20,0.9997707710102519,0.003311730771235979,0.007426506712285142,0.010817940405957975,0.023367255006992323,0.010856726380588565,0.032653990024978964,0.007544995609352586
