field,role,selected_rank,training_cv_error,reserved_mean_error,reserved_maximum_error,reserved_mean_volume_error,minimum_prediction
bulk,direct_rom,6.0,0.0036641541298060762,0.003925730298144943,0.006923222666427324,3.593263780907187e-05,-3.0556926865346643e-06
small,direct_rom,3.0,0.009219869802302817,0.009404110980873378,0.020261416894912978,2.743931722443448e-05,-1.92059852768294e-06
large,derived_as_bulk_minus_small,,,0.00997284244019605,0.019180346075728046,7.706925695949648e-05,-0.0012323717279690838
