model,model_role,pod_rank,captured_fluctuation_energy,mean_test_error,median_test_error,maximum_test_error,mean_volume_error,maximum_volume_error,median_online_time_ms,percentile_95_online_time_ms,package_size_mb
rank_4_neural,Training-selected parsimonious model,4,0.9985606259816633,0.009273374184418703,0.008159959831828788,0.01527619829865854,2.8928686497807516e-05,8.788250898064144e-05,0.42151699744863436,0.7264600950293243,0.39371776580810547
rank_6_neural,Energy-threshold baseline and best observed test performance,6,0.999028567918881,0.008392984711073848,0.00805800414466766,0.013041642704225476,2.877258673516212e-05,8.641803695497962e-05,0.42629499512258917,0.7377486872428561,0.5427370071411133
