field,preliminary_neural_rank,preliminary_neural_cv_error,preliminary_linear_rank,preliminary_linear_cv_error,captured_energy_at_neural_rank,projection_error_at_neural_rank
bulk,8,0.0036660094304542465,4,0.003948919574089317,0.9901549785549858,0.002234249143137781
small,6,0.009090725077623672,3,0.009697797545413436,0.9990953110536126,0.005224375868328311
large,8,0.010139154181493741,3,0.010716599620065489,0.9991258959397536,0.005480717400891276
