rank,number_of_seeds,mean_cv_error,median_cv_error,minimum_cv_error,maximum_cv_error,standard_deviation_across_seeds,worst_case_error,standard_error
3,5,0.009269941065743761,0.009249075861339598,0.009232997262604363,0.009352195933783256,4.9297240676629856e-05,0.02082771565926546,2.2046396251222415e-05
4,5,0.009216407507222935,0.009196219903398438,0.009102812793521552,0.00930841682609796,8.336261390995275e-05,0.02057309344769296,3.7280894296944775e-05
6,5,0.009222296892770751,0.009157511370278716,0.00906928102475977,0.009471563131860984,0.00015502910275842015,0.023183834156940253,6.933112245172552e-05
8,5,0.009308950465894975,0.009285698662659426,0.009232106662377752,0.009452434734896235,8.533090908083529e-05,0.021407829165931265,3.816114265732036e-05
10,5,0.009680551140956816,0.009586522041470239,0.0094741764763661,0.010130710756783895,0.00025939037570219187,0.02921681319061634,0.00011600290255586215
