formulation,rank,absolute_tail_norm,relative_tail_percent,captured_energy_percent
Paper-style uncentred POD,1,19.391385778236824,13.630227936761997,98.14216886391912
Paper-style uncentred POD,2,4.165268664817202,2.92777225767064,99.91428149607215
Paper-style uncentred POD,3,1.2602991448587335,0.8858657555155246,99.99215241863205
Paper-style uncentred POD,4,0.9711658866189968,0.6826336472497371,99.99534011303643
Paper-style uncentred POD,6,0.749091382021315,0.5265372160185531,99.99722758560148
Paper-style uncentred POD,8,0.62352121112529,0.43827379477859874,99.99807916080809
Paper-style uncentred POD,10,0.5278920371477267,0.371055935589735,99.99862317492662
Paper-style uncentred POD,15,0.42413450474372283,0.29812464367506647,99.99911121696832
Paper-style uncentred POD,20,0.3599632144307467,0.25301856802039907,99.99935981604237
Paper-style uncentred POD,30,0.2748147467666678,0.19316760966187108,99.9996268627458
Paper-style uncentred POD,50,0.16863626170755933,0.11853462727027855,99.99985949542138
Paper-style uncentred POD,75,0.08283430455839719,0.05822433038185767,99.99996609927355
Paper-style uncentred POD,99,0.010862963897197042,0.007635590136821825,99.99999941697763
Mean-centred POD,1,4.167239621071161,18.963925409195202,96.40369533074482
Mean-centred POD,2,1.2640578088517445,5.752368517223278,99.6691025644206
Mean-centred POD,3,0.9739981910701,4.432389476897091,99.80353923525092
Mean-centred POD,4,0.8336947463322693,3.7939082992830597,99.85606259816633
Mean-centred POD,6,0.6848988800454237,3.1167805202150034,99.9028567918881
Mean-centred POD,8,0.5638971241673575,2.5661358533591376,99.93414946782107
Mean-centred POD,10,0.5018556182190411,2.2838025588855198,99.94784245872029
Mean-centred POD,15,0.40834539103781,1.858264040703082,99.96546854755032
Mean-centred POD,20,0.34909322288167627,1.588624231279984,99.97476273051792
Mean-centred POD,30,0.26799495017877606,1.2195689970726808,99.9851265146138
Mean-centred POD,50,0.16447979515620564,0.7485008903472234,99.9943974641715
Mean-centred POD,75,0.07989179654454502,0.36356490344750425,99.9986782056098
Mean-centred POD,99,1.763910257363646e-14,8.027055219003755e-14,100.0
