mode,raw_coefficient_error_percent,standardised_coefficient_error_percent
1,0.22780040733977644,0.3170166566205964
2,2.5886770760701285,3.4698994904857403
3,15.16066860392382,16.508388966905923
4,52.717848351967454,58.85297940372071
5,83.51766916417257,80.33844912913108
6,103.4224822417265,116.1930112902606
7,107.7817089879139,111.82650965861085
8,101.11688517659893,95.45579514881975
9,110.51306981299119,124.4419993084758
10,100.81198729308049,100.7911881293486
11,148.61381567166134,138.5376185975802
12,91.31364896998008,99.43654019365934
13,107.5943843338119,108.17527560015893
14,90.36943457931847,98.10450477732118
15,107.12766747307496,124.47793210550822
