training_count,rank,selected_seed,validation_mean_field_error_percent,mean_external_error_percent,median_external_error_percent,maximum_external_error_percent,mean_projection_error_percent,mean_excess_above_projection_percent
10,1,47,10.340762051390447,11.246504281463261,8.58566122946499,29.87264992676058,11.239078616349529,0.007425665113733188
10,2,131,3.180190950265096,2.5392578635935164,2.834555223715942,3.8540212143264014,2.4596879951762793,0.07956986841723684
10,3,11,1.1950673052445135,1.0717509182987404,1.1687292083311056,1.727276971209058,0.7921946494708167,0.2795562688279237
10,4,47,1.1767868405063588,0.9633430268287831,0.9404462711918957,1.4038147518746797,0.6295620290132541,0.333780997815529
10,6,131,1.207125770016976,1.0290416601466639,1.0233349006197425,1.7035191039652386,0.5333208527841324,0.49572080736253143
10,10,11,1.2751322860758296,1.0933104516823247,1.0172138968836324,1.9793701100322019,0.41166769948544596,0.681642752196879
10,15,131,1.300634578964435,1.1196567634369583,1.0415257210240891,2.0106092140348197,0.36116830204825934,0.7584884613886989
10,20,131,1.307935089373462,1.1420853015987091,1.045895804433167,2.0664324175496156,0.3296749764724704,0.812410325126239
20,1,131,10.33972951471895,11.245884704971562,8.584573855816888,29.873521133649806,11.239078616349529,0.00680608862203294
20,2,11,3.1582962813486777,2.54083531926754,2.8533147386676103,3.835331668383193,2.4596879951762793,0.08114732409126024
20,3,11,1.1961437143540374,1.0371293538341029,1.063978790736891,1.4904355625276176,0.7921946494708167,0.2449347043632861
20,4,131,1.166027698919017,0.9445661812460007,0.8836121063727818,1.405296533387047,0.6295620290132541,0.31500415223274675
20,6,131,1.1914621190150703,0.9268657737214043,0.95280829391809,1.3610306639051775,0.5333208527841324,0.39354492093727184
20,10,11,1.216494177470437,0.976952130399751,1.016072330702699,1.6107819459801258,0.41166769948544596,0.5652844309143054
20,15,47,1.2419137199014236,0.9985956851639815,1.0332351034509801,1.5397685542495476,0.36116830204825934,0.6374273831157222
20,20,131,1.2361857529362137,1.0175649030346523,1.049607240352507,1.6701975223589731,0.3296749764724704,0.687889926562182
90,1,11,10.335895905465616,11.242848591135575,8.583472180027995,29.873397006555468,11.239078616349529,0.0037699747860475002
90,2,47,3.122449905491486,2.499038775525246,2.825975654612176,3.8489352684493876,2.4596879951762793,0.03935078034896644
90,3,11,1.0973353481220842,0.9788107813411828,0.9222200066291399,1.50420071261874,0.7921946494708167,0.18661613187036613
90,4,11,1.0348675395833684,0.8763117542347919,0.7710951234413973,1.4045839753965823,0.6295620290132541,0.24674972522153774
90,6,131,1.0187103306887637,0.8578501575244905,0.8143109729288709,1.32850392085006,0.5333208527841324,0.32452930474035785
90,10,47,1.0236774392440589,0.8602174996252805,0.8317760692250369,1.3988380689421975,0.41166769948544596,0.4485498001398346
90,15,11,1.0326288199122038,0.8598677038134132,0.8254669534598715,1.449864490091903,0.36116830204825934,0.498699401765154
90,20,47,1.0360928544016037,0.8708566928621674,0.8348027996032403,1.3799175389862268,0.3296749764724704,0.541181716389697
