model,rank,mean_test_error_percent,median_test_error_percent,maximum_test_error_percent,mean_projection_error_percent,mean_spatial_correlation,mean_absolute_integral_error_percent,minimum_prediction,maximum_prediction,fraction_phi_lt_negative_tolerance_percent,fraction_phi_gt_one_percent
rank_4_rom,4,0.9273374184418703,0.8159959831828788,1.527619829865854,0.6295620290132541,0.9999435782930799,0.00289286864972848,-1.5987463945768625e-06,0.5375315098610632,0.0,0.0
rank_6_rom,6,0.8392984711073849,0.8058004144667661,1.3041642704225476,0.5333208527841324,0.9999522564768238,0.0028772586733855376,-1.2010771968447672e-06,0.5374356458965861,0.0,0.0
validation_selected_rank,6,0.8578501575244905,0.8143109729288709,1.32850392085006,0.5333208527841324,0.9999502771126633,0.009268264092401638,-1.3298322080818913e-06,0.5376565214047758,0.0,0.0
paper_rank15,15,0.8598677038134132,0.8254669534598715,1.449864490091903,0.36116830204825934,0.9999490388666394,0.013017900453280945,-3.329090392212977e-06,0.5380274272264752,0.0,0.0
