case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,route,rank,spacetime_relative_l2_error_percent,mean_snapshot_l2_error_percent,median_snapshot_l2_error_percent,p95_snapshot_l2_error_percent,maximum_snapshot_l2_error_percent,mean_spatial_correlation,minimum_spatial_correlation,time_averaged_l2_error_percent,mean_absolute_integral_error_percent,maximum_volume_fraction,minimum_volume_fraction,grid_time_fraction_phi_gt_one_percent,grid_time_fraction_phi_lt_tolerance_percent
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle XZ POD then CG,0,577.2949362480311,577.2984688894023,576.8608207478256,579.9780440168639,580.3185513946415,0.1809075935967806,0.16295614677768,580.7255460367717,3.357934251791722e-05,17.23128908574338,0.0,1.09,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle XZ POD then CG,8,100.84293140157412,95.82332783975514,75.70040317959493,140.8264959107104,142.07855937447593,0.7003796362722194,0.5671910350630218,82.336477940935,0.2905621008580943,2.0877340205401858,0.0,0.6237373737373738,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle XZ POD then CG,14,99.11210191951734,93.7430547310177,79.74248434902343,143.8349547299646,144.8775773804739,0.7085884430267833,0.5563051873538245,78.37575705375328,0.3210049316250027,2.323534549424967,0.0,0.5615151515151515,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle XZ POD then CG,27,97.0150315228338,91.14044789150812,78.89708656382693,141.82520925406746,143.95612491373396,0.7182510068149933,0.563497181445892,76.56725440113834,0.3617621456537778,2.2174412490830018,0.0,0.526969696969697,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle XZ POD then CG,100,92.6873198150537,86.44867014189354,72.69836830552669,136.03519472789608,137.92782888285527,0.7342037203344862,0.5788693433066586,73.64694047656779,0.3598651672443898,2.131454303549349,0.0,0.4696969696969696,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,Particle XZ POD then CG,0,515.5909349918852,515.5935743225929,515.2889963383357,517.8924962852205,518.817389081353,0.2951115227475037,0.2737560484059156,517.8226510155854,4.027778546066172e-05,14.928933509133271,0.0,1.0699999999999998,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,Particle XZ POD then CG,8,111.20197194892586,103.5485084669007,77.52739952015052,161.18080419385643,166.54200159070254,0.7689811559475077,0.642473860121991,88.42220496351406,0.3036327428347083,3.551285081416705,0.0,1.06989898989899,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,Particle XZ POD then CG,14,108.51712227534712,100.66443749279392,77.67061365602217,168.81911524450052,176.94418878524107,0.7742625408544974,0.6163072273559519,83.99741718188078,0.3551231950910515,3.9554703597186687,0.0,1.0662626262626262,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,Particle XZ POD then CG,27,107.13640474698116,98.41532529963774,78.37089529808338,171.30684261686724,178.76451199442943,0.7804100862062127,0.6117752989588705,81.89856318582497,0.3572245459322755,4.119011191483991,0.0,1.01989898989899,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,Particle XZ POD then CG,100,102.48737915529624,93.18604277942232,75.7903269671865,165.11100820506695,173.2829012938796,0.794086175253944,0.6214354825159918,79.53850098214059,0.3642592582760678,3.754573655491011,0.0,0.9533333333333333,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle XZ POD then CG,0,495.2027821688011,495.2050415146145,495.1658021486711,496.77549603345136,497.2515450032327,0.2974586295475707,0.2888959919583211,496.5088776226956,3.447438577448052e-05,15.796482537722712,0.0,1.04,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle XZ POD then CG,8,135.3460721150484,124.24389952191169,91.3700448937294,208.32957622451943,213.6089653237528,0.7342313200865962,0.5541536440143716,108.24712990473785,0.2354174720803863,4.983797052490369,0.0,1.558080808080808,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle XZ POD then CG,14,130.63632248679482,119.00845889656163,93.51966113382018,211.7836915238683,218.58397544775912,0.7450846478362694,0.5408068042427187,101.68663490933658,0.2676405061094358,5.414887264056746,0.0,1.4448484848484848,0.0
