case_id,size_ratio,rank,continuum_first_error_percent,XYZ_particle_error_percent,XZ_particle_error_percent,XZ_mean_spatial_correlation,XZ_maximum_volume_fraction,XZ_fraction_phi_gt_one_percent,XZ_minus_XYZ_error_points,XZ_error_reduction_vs_XYZ_percent,XYZ_to_continuum_error_ratio,XZ_to_continuum_error_ratio
ratio_1_000000_num_1,1.0,0,11.163556141501337,577.2949362480311,577.2949362480311,0.1809075935967806,17.23128908574338,1.09,0.0,0.0,51.712458730054216,51.712458730054216
ratio_1_000000_num_1,1.0,8,10.749232646685003,100.95378311605164,100.84293140157412,0.7003796362722194,2.0877340205401858,0.6237373737373738,-0.11085171447751918,0.10980441847344082,9.391719989164544,9.381407465645788
ratio_1_000000_num_1,1.0,14,10.550154424788648,100.68120508544382,99.11210191951734,0.7085884430267833,2.323534549424967,0.5615151515151515,-1.569103165926478,1.5584866754374338,9.543102501787388,9.394374520873695
ratio_1_000000_num_1,1.0,27,10.139796721930512,98.59197926315916,97.0150315228338,0.7182510068149933,2.2174412490830018,0.526969696969697,-1.576947740325366,1.5994685897482774,9.723269801841576,9.567749155464641
ratio_1_000000_num_1,1.0,100,9.04242063358271,94.76122134959655,92.6873198150537,0.7342037203344862,2.131454303549349,0.4696969696969696,-2.0739015345428555,2.188555091424732,10.479629867876548,10.25027739484067
ratio_1_252525_num_26,1.252525,0,9.604218530442946,515.5909349918852,515.5909349918852,0.2951115227475037,14.928933509133271,1.0699999999999998,0.0,0.0,53.68379877629734,53.68379877629734
ratio_1_252525_num_26,1.252525,8,9.065863382537044,111.54194916761864,111.20197194892586,0.7689811559475077,3.551285081416705,1.06989898989899,-0.3399772186927805,0.30479763105258534,12.303510924560623,12.266010114726265
ratio_1_252525_num_26,1.252525,14,8.876690064581823,110.87509950914723,108.51712227534712,0.7742625408544974,3.9554703597186687,1.0662626262626262,-2.3579772338001135,2.1266968365657064,12.490590377999247,12.224953387561957
ratio_1_252525_num_26,1.252525,27,8.498653996312548,109.51926726001916,107.13640474698116,0.7804100862062127,4.119011191483991,1.01989898989899,-2.382862513038006,2.175747311548977,12.886660323803994,12.60627915826038
ratio_1_252525_num_26,1.252525,100,7.516578076007994,105.70973145777396,102.48737915529624,0.794086175253944,3.754573655491011,0.9533333333333333,-3.2223523024777165,3.048302420260044,14.063544659395824,13.634845287169108
ratio_1_494949_num_50,1.494949,0,7.530082718370724,495.2027821688011,495.2027821688011,0.2974586295475707,15.796482537722712,1.04,0.0,0.0,65.76325927478624,65.76325927478624
ratio_1_494949_num_50,1.494949,8,7.085102495239932,135.74413391083698,135.3460721150484,0.7342313200865962,4.983797052490369,1.558080808080808,-0.39806179578857837,0.2932441972409974,19.159092476366514,19.10290954943553
ratio_1_494949_num_50,1.494949,14,6.907495443020757,133.45746710592633,130.63632248679482,0.7450846478362694,5.414887264056746,1.4448484848484848,-2.821144619131502,2.1138904253984796,19.32067392686737,18.912256050604864
ratio_1_494949_num_50,1.494949,27,6.623721843000535,132.63729424437997,129.663312506333,0.749890819103876,5.319633094030585,1.3826262626262626,-2.973981738046973,2.242191198930451,20.024586990249503,19.575597463131956
ratio_1_494949_num_50,1.494949,100,5.770141520536022,127.8787117820291,123.80009418664726,0.763449762162665,5.06582952393857,1.3349494949494949,-4.078617595381843,3.189442197645765,22.1621447804888,21.45529598295654
ratio_1_747475_num_75,1.747475,0,7.365282942345162,486.5747388844376,486.5747388844376,0.2857632251558413,15.899682551993331,1.01,0.0,0.0,66.06327858594236,66.06327858594236
ratio_1_747475_num_75,1.747475,8,6.811703354219993,148.42208438432695,148.2118596680249,0.703332479792013,4.891542648266523,1.7662626262626262,-0.21022471630203654,0.14163978169022118,21.789275995463946,21.75841371251209
ratio_1_747475_num_75,1.747475,14,6.511046869790553,146.01474860648617,143.166333964178,0.7146194360645064,5.5364575962141735,1.6512121212121211,-2.848414642308171,1.9507718703024504,22.42569459666371,21.988220454752057
ratio_1_747475_num_75,1.747475,27,6.139014078436581,143.56051462239355,140.55294466172447,0.7230775757926459,5.465109351617984,1.5874747474747477,-3.0075699606690875,2.0949841037975396,23.38494631029646,22.89503540241416
ratio_1_747475_num_75,1.747475,100,5.279283961724388,138.0615784299893,133.90440068102603,0.7385433143911396,5.188028749469356,1.5466666666666666,-4.157177748963278,3.0111040278098606,26.15157271913327,25.364121659651826
ratio_2_000000_num_100,2.0,0,6.590947520531947,483.9510111394502,483.9510111394502,0.2784848104975276,16.015546120578957,0.98,0.0,0.0,73.42662183727889,73.42662183727889
ratio_2_000000_num_100,2.0,8,5.996268595743866,158.72661504731803,158.58034476983337,0.6810027070769403,6.522525465678945,1.8432323232323236,-0.14627027748466048,0.09215233213475624,26.470898111532513,26.446504561585723
ratio_2_000000_num_100,2.0,14,5.728392011606181,153.3657385471839,150.77494192887588,0.7001464793745658,6.286174462725235,1.7085858585858589,-2.590796618308019,1.6892929560737224,26.772912579385736,26.3206396530464
ratio_2_000000_num_100,2.0,27,5.374077288933678,150.18558221690694,147.50194208843672,0.7078127400304031,6.3158094930494215,1.6741414141414142,-2.6836401284702163,1.7868826613425142,27.94630113083221,27.446933521438805
ratio_2_000000_num_100,2.0,100,4.556878570587827,144.19937615496386,140.3589388034058,0.7245061823777532,5.827266874678295,1.63,-3.8404373515580517,2.6632829170016143,31.644331513613817,30.80155343821238
