case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,rank,relative_validation_fluctuation_error_percent,mean_particle_xz_rmse,median_particle_xz_rmse,p95_particle_xz_rmse,maximum_particle_xz_rmse
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,0,99.99999999999994,14.189938682811574,14.195918307956049,14.730923962894586,14.885160435280813
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,8,77.13787150600045,10.784780395006788,10.957263897682646,12.916032883396626,13.062043441897965
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,14,75.53349511248031,10.511675573254617,10.629599732662326,12.831422757578572,12.99790216394783
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,27,74.41812212774754,10.280370039794633,10.311450853544866,12.78163827023306,12.91021771310602
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,100,73.50975013146488,10.1116939972336,10.102213702725733,12.71031069335178,12.810590698460429
