case_id,size_ratio,continuum_first_error_percent,XYZ_particle_error_percent,XZ_particle_error_percent,XZ_time_averaged_error_percent,XZ_mean_correlation,XZ_maximum_phi,XZ_fraction_phi_gt_one_percent,XZ_error_reduction_vs_XYZ_percent,XZ_to_continuum_error_ratio,continuum_mean_correlation,XYZ_mean_correlation,continuum_maximum_phi,XYZ_maximum_phi,continuum_fraction_phi_gt_one_percent,XYZ_fraction_phi_gt_one_percent
ratio_1_000000_num_1,1.0,9.04242063358271,94.76122134959655,92.6873198150537,73.64694047656779,0.7342037203344862,2.131454303549349,0.4696969696969696,2.188555091424732,10.25027739484067,0.994424229186274,0.7279727891976256,0.346003424147692,2.197808421620201,0.0,0.4993939393939394
ratio_1_252525_num_26,1.252525,7.516578076007994,105.70973145777396,102.48737915529624,79.53850098214059,0.794086175253944,3.754573655491011,0.9533333333333333,3.048302420260044,13.634845287169108,0.9963301105099786,0.786748605621882,0.5152188287169042,3.8699606934870254,0.0,0.9761616161616162
ratio_1_494949_num_50,1.494949,5.770141520536022,127.8787117820291,123.80009418664726,95.45870123707536,0.763449762162665,5.06582952393857,1.3349494949494949,3.189442197645765,21.45529598295654,0.997921656568252,0.7546704270065433,0.5477038521866533,5.1641226163106735,0.0,1.3594949494949495
ratio_1_747475_num_75,1.747475,5.279283961724388,138.0615784299893,133.90440068102603,104.18104689189548,0.7385433143911396,5.188028749469356,1.5466666666666666,3.0111040278098606,25.364121659651826,0.9982877718277924,0.7293574823623685,0.5574472026501311,5.259809916373522,0.0,1.5654545454545457
ratio_2_000000_num_100,2.0,4.556878570587827,144.19937615496386,140.3589388034058,108.15076677043416,0.7245061823777532,5.827266874678295,1.63,2.6632829170016143,30.80155343821238,0.9987364539842992,0.7158749162702672,0.560410355695567,5.90623265983314,0.0,1.6467676767676769
