case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,rank,relative_validation_fluctuation_error_percent,mean_particle_xz_rmse,median_particle_xz_rmse,p95_particle_xz_rmse,maximum_particle_xz_rmse
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,0,100.00000000000009,16.186471901942827,16.133795107332187,16.899197419608633,16.956817449355214
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,8,68.94589352698694,10.973689934993564,10.619917532660288,13.52822912577391,13.626877221286051
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,14,67.57176264871688,10.715167419970673,10.310542335022957,13.41575659650736,13.516340884018502
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,27,66.64648260330515,10.505025421572428,10.145113820920969,13.397909543408336,13.4856188273831
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,100,65.80574840021725,10.323316939716127,10.017861592689895,13.330118264342692,13.411603256182598
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,0,100.0,15.684611497695922,15.676261189437492,16.361778273885797,16.39243201368707
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,8,71.38008795058596,11.017216538882105,10.740889703255943,13.423035151766468,13.55208291314647
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,14,69.95716242342513,10.755878588903151,10.446924902929572,13.3186191559896,13.4660171675147
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,27,69.03582115759262,10.545078010047549,10.299788733138374,13.30048181203201,13.427223212061469
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,100,68.19514888727046,10.372317406139295,10.12420289742963,13.24248557051682,13.347375428168553
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,0,100.0,14.856804567596548,14.812520335475066,15.460273428323204,15.568565835217962
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,8,74.67225196914727,10.92636301924852,10.968650546179822,13.210575179860625,13.315808164240536
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,14,73.15744865627751,10.658033898175796,10.623413764898622,13.144061293753344,13.259318053142104
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,27,72.0855072405504,10.427580154799148,10.36548079497981,13.106878033584206,13.19452704817438
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,100,71.25653760072103,10.263343951371512,10.162190259708286,13.05298000456139,13.116229301353542
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,0,99.99999999999994,14.189938682811574,14.195918307956047,14.730923962894586,14.885160435280811
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,8,77.13787150600045,10.784780395006788,10.957263897682646,12.916032883396626,13.062043441897965
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,14,75.53349511248031,10.511675573254616,10.629599732662326,12.831422757578572,12.99790216394783
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,27,74.41812212774754,10.280370039794631,10.311450853544866,12.78163827023306,12.91021771310602
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,100,73.50975013146488,10.1116939972336,10.102213702725733,12.71031069335178,12.810590698460429
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,0,99.99999999999984,13.725421008268093,13.699444728925444,14.23215686670457,14.289996311703169
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,8,78.60105951789603,10.631747016913156,11.01781079928554,12.768845110936814,12.82633210260213
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,14,76.85581853200894,10.344031123026562,10.70713643875064,12.707008591255402,12.775993851901006
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,27,75.67716486002341,10.115670361039644,10.355549045631005,12.642096688745864,12.661402249634587
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,100,74.79956144403164,9.954935140214854,10.158062161228075,12.572064407791574,12.592223364162292
