case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,rank,relative_validation_fluctuation_error_percent,mean_particle_xz_rmse,median_particle_xz_rmse,p95_particle_xz_rmse,maximum_particle_xz_rmse
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,0,99.99999999999999,15.684611497695922,15.676261189437493,16.361778273885797,16.39243201368707
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,8,71.38008795058596,11.017216538882105,10.740889703255945,13.423035151766468,13.55208291314647
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,14,69.95716242342513,10.755878588903153,10.446924902929572,13.3186191559896,13.4660171675147
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,27,69.03582115759262,10.545078010047547,10.299788733138374,13.30048181203201,13.427223212061467
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,100,68.19514888727046,10.372317406139295,10.12420289742963,13.24248557051682,13.347375428168553
