case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,route,rank,spacetime_relative_l2_error_percent,mean_snapshot_l2_error_percent,median_snapshot_l2_error_percent,p95_snapshot_l2_error_percent,maximum_snapshot_l2_error_percent,mean_spatial_correlation,minimum_spatial_correlation,time_averaged_l2_error_percent,mean_absolute_integral_error_percent,maximum_volume_fraction,minimum_volume_fraction,grid_time_fraction_phi_gt_one_percent,grid_time_fraction_phi_lt_tolerance_percent
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle XZ POD then CG,0,483.9510111394502,483.95237044752764,483.9562017370557,485.105374030318,485.88856512388566,0.27848481049752766,0.27529950856747815,484.8956333910481,2.067133751708871e-05,16.015546120578957,0.0,0.98,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle XZ POD then CG,8,158.58034476983335,144.60148996328647,129.8229813431138,239.2716822154611,249.01998940771165,0.6810027070769403,0.48328634257794495,123.6546112461438,0.15347725508315413,6.522525465678945,0.0,1.8432323232323233,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle XZ POD then CG,14,150.77494192887588,135.8131112634362,117.67333956410103,235.86423464785975,240.40539887030837,0.7001464793745658,0.48980426693427137,116.04362378559743,0.17565238349608014,6.286174462725235,0.0,1.7085858585858587,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle XZ POD then CG,27,147.50194208843672,131.98228381990845,105.26983244073784,234.43274395975232,235.97802600325505,0.7078127400304031,0.4960296700498939,112.60102012072265,0.18415314501718855,6.3158094930494215,-1.1481673403101648e-18,1.6741414141414142,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle XZ POD then CG,100,140.3589388034058,124.59202080888097,95.25278888156002,227.67451965774626,230.7958615962572,0.7245061823777532,0.5028734312139479,108.15076677043417,0.18085118079503018,5.827266874678295,0.0,1.63,0.0
