case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,rank,continuum_training_energy_percent,particle_training_energy_percent
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,0,0.0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,8,38.86668178221266,95.41174664595154
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,14,53.16770980923916,99.09974388126399
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,27,72.11476181638973,99.94107348924527
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,100,100.00000000000003,99.99999999999989
