case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,route,rank,spacetime_relative_l2_error_percent,mean_snapshot_l2_error_percent,median_snapshot_l2_error_percent,p95_snapshot_l2_error_percent,maximum_snapshot_l2_error_percent,mean_spatial_correlation,minimum_spatial_correlation,time_averaged_l2_error_percent,mean_absolute_integral_error_percent,maximum_volume_fraction,minimum_volume_fraction,grid_time_fraction_phi_gt_one_percent,grid_time_fraction_phi_lt_tolerance_percent,average_field_consistency_percent
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,0,6.590947520531947,6.573072694002663,6.616291732134826,7.413801922213616,7.850928361237884,0.9973520724171122,0.9962415261872521,1.6730327339206577,1.7901950980883288e-05,0.539921303420841,0.0,0.0,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,0,483.9510111394502,483.95237044752764,483.9562017370557,485.105374030318,485.88856512388566,0.27848481049752766,0.27529950856747815,484.8956333910481,2.067133751708871e-05,16.015546120578957,0.0,0.98,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,8,5.996268595743866,5.986393332886419,5.948896601486807,6.62766977808239,6.814279571727751,0.9978097689576975,0.9971741682673715,1.6574329176043603,1.814190001676124e-05,0.5509691518929529,-0.00019960101637622908,0.0,0.0073737373737373735,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,8,158.72661504731803,144.8125396705721,129.48443269462976,237.13795526223876,247.88518443308382,0.680622005097435,0.4849391222394311,123.85904687153545,0.14598097857990733,6.47378377645895,0.0,1.8422222222222222,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,14,5.728392011606181,5.719574953842213,5.677317744954508,6.2897326630534,6.591344726105215,0.9980015420595827,0.9973538377080267,1.6447543697832363,1.8135089591053653e-05,0.5553523652655252,-0.00034524470535635327,0.0,0.04262626262626262,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,14,153.3657385471839,138.74488762856873,118.24602663373079,236.56693021413804,241.75045781926482,0.6933043944978388,0.4878806862691811,118.01044935792844,0.16208694431806508,6.365363747862752,0.0,1.7259595959595961,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,27,5.374077288933678,5.364488811507943,5.334233433481429,5.927956042749451,6.222101986707501,0.9982419550740469,0.9976423332219373,1.5821009881394008,1.9510964263875756e-05,0.5563827790483945,-0.0006182866971840101,0.0,0.19585858585858587,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,27,150.18558221690694,134.87712756449955,104.9208858560138,235.43372585412934,237.0090295950498,0.7012262702576372,0.4947782825044472,114.66827811248065,0.1716584706602153,6.373456511129621,0.0,1.6878787878787878,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,100,4.556878570587827,4.548961647302097,4.561947715480149,5.035881686780335,5.1113707497225525,0.9987364539842992,0.9984180109697594,1.3922241003929958,2.713867396406053e-05,0.560410355695567,-0.004282513480701509,0.0,1.2033333333333334,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,100,144.19937615496386,128.43392159439145,95.83110196292697,230.12292358694066,232.93144791153716,0.7158749162702672,0.4996030848472378,110.80769972561927,0.16591737141013777,5.90623265983314,0.0,1.6467676767676767,0.0,0.0
