case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,field,rank,relative_l2_error_percent,normalised_l1_error_percent,active_bed_rmse,correlation,field_integral,integral_error_percent,field_centroid_error,maximum_volume_fraction,grid_fraction_phi_gt_one_percent,route,error_multiple_of_cycle_variation,maximum_over_true_maximum,minimum_volume_fraction,grid_fraction_phi_lt_zero_percent
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,CG then POD,0,1.806854695535412,1.456135484400656,0.0039197344915815,0.9997771296811996,282.79829005455207,2.006655732634725e-06,0.0495289156800014,0.2994535747739953,0.0,CG then POD,0.9999999999999988,1.002121925095901,0.0,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle POD then CG,0,580.7255460367718,183.7390886990635,1.260457393744281,0.1824186121646285,282.79822534768,-2.087427237472353e-05,0.0495285844281478,17.23128908574336,1.09,Particle POD then CG,321.4013542271528,57.66453983233154,0.0,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,CG then POD,8,1.7562678516901071,1.4437206325315084,0.0038099922444525,0.9997894022300788,282.79828547467497,3.871702715291623e-07,0.0263343419427647,0.3019020982153051,0.0,CG then POD,0.972002815738143,1.010315913184037,-2.3298064232302195e-18,0.4599999999999999
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle POD then CG,8,82.5671170126292,65.44093890208553,0.1791373120731564,0.7453180673451266,282.034959701326,-0.2699184261716027,0.0312089944770192,1.01140530803688,0.0699999999999999,Particle POD then CG,45.696600405470136,3.3846696774519467,0.0,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,CG then POD,14,1.7235489359949303,1.4018907340599855,0.0037389652558033,0.9997972183088456,282.7982861690556,6.327094415015567e-07,0.0283328491055046,0.3028640663470923,0.0,CG then POD,0.9538945994128224,1.0135351412624962,-2.7649205769416464e-18,0.4599999999999999
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle POD then CG,14,79.7048896744092,63.10687403783336,0.1729351498505277,0.7571806542613613,281.9726825144059,-0.2919401958780968,0.0608642930177616,0.9975994093275812,0.0,Particle POD then CG,44.11250659577292,3.338468212658335,0.0,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,CG then POD,27,1.6715817418897692,1.3537971123221433,0.0036262191441347,0.9998093019673262,282.7982888634682,1.585477835253944e-06,0.0238686189245635,0.3026358242827247,0.0,CG then POD,0.92513346315014,1.0127713287847038,-4.2128455108886815e-18,0.48
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle POD then CG,27,77.94493966719341,61.80524591888885,0.1691177455460012,0.7635420859851394,281.8314545513807,-0.3418796653960714,0.0669059399112762,0.967091990166215,0.0,Particle POD then CG,43.13846589866292,3.2363750797152098,0.0,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,CG then POD,100,1.5915891820559358,1.2969631683487537,0.0034525361737817,0.9998271587603772,282.7982902945303,2.091514185490827e-06,0.0272281435575929,0.3014027556563932,0.0,CG then POD,0.880861746098687,1.0086448624149926,-3.818689155424362e-06,0.76
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle POD then CG,100,75.22211881715891,60.17478878227436,0.1632063974134544,0.7737640763619714,281.8612896023424,-0.3313297248166429,0.0602201167259542,0.9276471767526052,0.0,Particle POD then CG,41.63152632197069,3.1043729408763987,0.0,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,CG then POD,0,1.7102078838090888,1.6024339829171592,0.0040226054984333,0.9998135879496816,282.7565430121721,2.962728046079888e-06,0.0713365053810985,0.484580352091593,0.0,CG then POD,1.0,1.0153705289141608,0.0,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,Particle POD then CG,0,517.8226510155855,176.08709538269764,1.2185800934099922,0.2968386233539762,282.7566370251872,3.621147869470727e-05,0.0713364542567475,14.928933509133248,1.0699999999999998,Particle POD then CG,302.78345452498814,31.28149758417733,0.0,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,CG then POD,8,1.5585372784797653,1.3887955102715666,0.003665918037471,0.999846042451438,282.75654511572304,3.706672291854648e-06,0.0128410246410747,0.4844562197124533,0.0,CG then POD,0.9113145210209692,1.015110426830124,-6.6408364318717775e-18,0.53
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,Particle POD then CG,8,88.77055739954784,63.01954358917856,0.208859832944845,0.8110019980047212,281.9394231864053,-0.2889805710466568,0.0431342919980913,1.7206442198594076,1.2,Particle POD then CG,51.90629644498664,3.605369933078743,0.0,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,CG then POD,14,1.5434557837163445,1.3655336921820915,0.0036302983276684,0.9998487766957171,282.7565454576252,3.827589793289588e-06,0.0103515035368279,0.4851021628937604,0.0,CG then POD,0.9024960055023584,1.016463910657566,-7.197735413476904e-18,0.4599999999999999
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,Particle POD then CG,14,85.65605385288816,61.026432202868186,0.2015304900350771,0.8189578453273724,281.8413508573364,-0.3236649433090294,0.0262573432452403,1.675996736732979,1.13,Particle POD then CG,50.08517073498064,3.511817360505188,0.0,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,CG then POD,27,1.49824593598878,1.3417916031421575,0.0035240700952824,0.9998574314221164,282.7565505360326,5.62362517704727e-06,0.0111666931324444,0.4857518907832456,0.0,CG then POD,0.8760607117842228,1.0178253248130291,-6.893827402633199e-18,0.5599999999999999
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,Particle POD then CG,27,83.58499532080465,59.6988693115745,0.1966543857119915,0.8241968340014199,281.83029557813404,-0.3275747660180405,0.0194116688101942,1.6496563220717886,1.1,Particle POD then CG,48.87417261499144,3.456624696066956,0.0,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,CG then POD,100,1.450050622354342,1.2882851587628303,0.0034108091767894,0.9998667342265004,282.7565433172905,3.0706365959765648e-06,0.0128879155495364,0.4854375368912064,0.0,CG then POD,0.8478797437915515,1.017166640084587,-4.6127207229855765e-06,1.04
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,Particle POD then CG,100,81.62641410942125,58.07744485540128,0.1920450566203672,0.8281863905808117,281.82608907020267,-0.3290624444325478,0.0474927783177503,1.6255636089451158,1.08,Particle POD then CG,47.72894271053028,3.4061417766402458,0.0,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,CG then POD,0,1.3962119869096632,1.3168771980261726,0.0035799384405474,0.9998791085239542,282.7607849212992,3.284837133128519e-06,0.0245739705174225,0.5255700846471945,0.0,CG then POD,0.9999999999999996,0.997780564876357,0.0,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle POD then CG,0,496.5088776226957,174.7411722388526,1.273542369254271,0.2984797742585935,282.76084893053024,2.592207558878033e-05,0.0245746093703228,15.796482537722737,1.04,Particle POD then CG,355.61138442999214,29.989194076997084,0.0,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,CG then POD,8,1.3473726009709148,1.2649284031011516,0.003454739697062,0.9998873363652748,282.7607815846933,2.104826961364822e-06,0.0125858419479484,0.5249364323299051,0.0,CG then POD,0.9650200783286148,0.9965775931214014,-2.567066108742276e-18,0.44
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle POD then CG,8,108.57672143361984,72.74376690646983,0.2784856743856833,0.7661301717297276,282.12555739887,-0.224648639039863,0.0193066134390125,2.2882724736248328,1.78,Particle POD then CG,77.76521219670983,4.344223288235804,0.0,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,CG then POD,14,1.3213709793945645,1.2354218739094966,0.0033879543173432,0.999891477482736,282.7607815545823,2.0941780366387198e-06,0.0149233386673469,0.5246653628433714,0.0,CG then POD,0.9463971028634768,0.9960629750461054,-2.3243899173188453e-18,0.5
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle POD then CG,14,103.65935028828896,70.21014713529166,0.2658710629220346,0.7780809017970621,282.0561941418634,-0.2491793600535248,0.0188432438551056,2.230593826630437,1.73,Particle POD then CG,74.2432748466267,4.234721939775293,0.0,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,CG then POD,27,1.2791370077264197,1.2172325083329938,0.0032797331051377,0.999898474470347,282.76078205254754,2.2702863496114765e-06,0.0163896380779965,0.5243097134984217,0.0,CG then POD,0.91614813489578,0.9953877844013792,-5.592232081431249e-18,0.48
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle POD then CG,27,101.51366439469074,68.42624753121807,0.2603656562856568,0.7821239700997129,282.03013007495866,-0.2583970695630454,0.0198656028147349,2.244292874573111,1.66,Particle POD then CG,72.70648393398929,4.260729211105596,0.0,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,CG then POD,100,1.230779032548943,1.1734549135459202,0.0031551116119015,0.9999060733988492,282.7607956597579,7.082555773559879e-06,0.0170100698221885,0.5250790608299071,0.0,CG then POD,0.8815130109813155,0.996848369463999,-1.4498279134169337e-05,0.75
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle POD then CG,100,98.26308396175818,66.44062724079058,0.2520265868243957,0.7891788146879258,281.9914370777473,-0.272081074045178,0.0243112876430241,2.19532131538623,1.59,Particle POD then CG,70.37834145748234,4.167758032920744,0.0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,CG then POD,0,0.8766697214344926,0.8320109336965951,0.002354974148732,0.999953264447222,282.7611005233119,-4.593732969563936e-06,0.0141732349529881,0.5321087380210662,0.0,CG then POD,1.0000000000000004,0.9981884834897392,0.0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle POD then CG,0,487.82604495999055,175.57673187094403,1.311350599130204,0.2867060652663726,282.76103442102016,-2.797116662884603e-05,0.0141727029189133,15.899682551993306,1.01,Particle POD then CG,556.4536256159984,29.826384873074822,0.0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,CG then POD,8,0.8009644754661543,0.7847670066765979,0.0021510183316231,0.9999609961630596,282.7611010602951,-4.403825938193008e-06,0.0052448232964426,0.5321664416876417,0.0,CG then POD,0.9136445070277304,0.9982967304161944,-1.9616193637312626e-18,0.54
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle POD then CG,8,117.72923914492452,79.72430378309676,0.3164673377075948,0.734562926344394,282.23539675908387,-0.1859225785992239,0.059423283352435,2.3815942712894027,1.97,Particle POD then CG,134.2914398278573,4.467658213596377,0.0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,CG then POD,14,0.7882488679347559,0.7819679515965704,0.0021166138820847,0.99996220450356,282.76110222846347,-3.990696870108291e-06,0.0098981962723197,0.5323038385253867,0.0,CG then POD,0.8991400622858816,0.9985544746164025,-2.027152128755282e-18,0.52
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle POD then CG,14,112.8102890242232,77.0288566541756,0.3032429917915835,0.7455334129239436,282.2034231715933,-0.1972302110715272,0.0512818852350659,2.3292275109601617,1.93,Particle POD then CG,128.68048965992807,4.369422846756289,0.0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,CG then POD,27,0.7640762354764785,0.7686297410278236,0.002051717974307,0.999964477465074,282.7611010226008,-4.417156728860726e-06,0.0102071684671991,0.5324087202191137,0.0,CG then POD,0.8715668133561436,0.9987512233095296,-3.737798047006144e-18,0.52
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle POD then CG,27,110.57016743016912,75.31006009145534,0.2972201553820258,0.749982937966386,282.21971888804575,-0.1914671426460135,0.0466997852929425,2.341895671192623,1.92,Particle POD then CG,126.12522678351826,4.393187184282626,0.0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,CG then POD,100,0.696551786172797,0.7160565605505376,0.0018696323604053,0.9999704291812408,282.76110722155886,-2.2248616299684163e-06,0.0174882512761612,0.5325807637940339,0.0,CG then POD,0.7945429950894519,0.9990739616952634,-5.343818183963232e-06,0.88
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle POD then CG,100,106.95749452641768,73.32531174132697,0.2875080971663822,0.7585251752493276,282.19242919251155,-0.2011182913471864,0.0581321649665451,2.292503032867262,1.85,Particle POD then CG,122.00432148084622,4.30053100477896,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,0,1.6730327339206577,1.482130245029695,0.0046277336676844,0.9998316820797084,282.7600454738499,-1.94092890211958e-06,0.0040253915711709,0.5399213034208402,0.0,CG then POD,0.9999999999999992,1.0005756027188764,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,0,484.8956333910482,176.48659370394145,1.3414735345156097,0.2791774573120874,282.7600130423462,-1.3410549027580987e-05,0.0040254716932131,16.015546120578918,0.98,Particle POD then CG,289.8303324016395,29.679815578567293,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,8,1.6574329176043603,1.4744471260385592,0.0045845294708289,0.9998348258116512,282.7600441763005,-2.399816014015832e-06,0.0042646360989044,0.5400007469948449,0.0,CG then POD,0.9906757255850333,1.0007228265854624,-1.6328934499629985e-18,0.42
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,8,123.85904687153544,83.75459846872907,0.3426547739232644,0.7138477267162027,282.3472798742088,-0.1459792804564476,0.0173919853442927,2.566524547993172,2.0,Particle POD then CG,74.03265002548915,4.756252124579417,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,14,1.644754369783236,1.4642149317200104,0.004549420947723,0.9998372986764968,282.7600431920859,-2.747890141428473e-06,0.0038772469756931,0.5401520597680994,0.0,CG then POD,0.9830975428250266,1.001003237579322,-2.495347572395299e-18,0.4499999999999999
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,14,118.01044935792848,80.25310521543757,0.3264729422709663,0.7269648594257958,282.30174511367494,-0.1620829557737218,0.0148318847047983,2.5779215484979665,2.01,Particle POD then CG,70.53684423817433,4.7773729075102285,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,27,1.5821009881394006,1.42661870042932,0.0043759828057266,0.99984968887328,282.76005208321783,3.965186590554594e-07,0.0086428393323198,0.5401202737388804,0.0,CG then POD,0.9456485555018612,1.0009443320959814,-3.373524262752164e-06,0.53
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,27,114.66827811248066,78.1279569899891,0.317226097679884,0.7342205952601795,282.2746838396678,-0.1716533579274552,0.0142627499064791,2.539972962387348,1.99,Particle POD then CG,68.53917188085254,4.707047048575995,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,100,1.3922241003929958,1.31803689382853,0.0038499888083134,0.9998834576502176,282.76005588149303,1.7398043137982054e-06,0.0166269054463268,0.5422766954518327,0.0,CG then POD,0.8321559238894247,1.004940586626934,-6.564592951259307e-05,2.17
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,100,110.80769972561926,75.91849878232998,0.3065452917737877,0.7435938986049542,282.2909071463337,-0.1659158760551915,0.0098112461261961,2.4654383366708594,1.94,Particle POD then CG,66.23163879522404,4.568920385343424,0.0,0.0
