case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,continuum_spacetime_error_percent,particle_spacetime_error_percent,continuum_time_averaged_error_percent,particle_time_averaged_error_percent,continuum_mean_spatial_correlation,particle_mean_spatial_correlation,continuum_maximum_volume_fraction,particle_maximum_volume_fraction,continuum_minimum_volume_fraction,particle_minimum_volume_fraction,continuum_fraction_phi_gt_one_percent,particle_fraction_phi_gt_one_percent,continuum_fraction_phi_lt_tolerance_percent,particle_fraction_phi_lt_tolerance_percent,natural_cycle_error_percent,small_particle_fraction,particle_first_to_continuum_first_ratio
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,9.04242063358271,94.76122134959655,1.5915891820559365,75.22211881715894,0.994424229186274,0.7279727891976256,0.346003424147692,2.197808421620201,-0.0107214063171156,0.0,0.0,0.4993939393939394,0.9526262626262626,0.0,1.8068546955354137,0.5,10.479629867876548
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,7.516578076007994,105.70973145777396,1.450050622354342,81.62641410942125,0.9963301105099786,0.786748605621882,0.5152188287169042,3.8699606934870254,-0.0065045271480253,0.0,0.0,0.9761616161616162,1.0343434343434343,0.0,1.710207883809089,0.6623946327197661,14.063544659395824
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,5.770141520536022,127.8787117820291,1.2307790325489432,98.26308396175818,0.997921656568252,0.7546704270065433,0.5477038521866533,5.1641226163106735,-0.0040956046921751,-2.1333663557889896e-18,0.0,1.3594949494949495,0.974141414141414,0.0,1.3962119869096639,0.7693212736230605,22.1621447804888
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,5.279283961724388,138.0615784299893,0.6965517861727969,106.95749452641766,0.9982877718277924,0.7293574823623685,0.5574472026501311,5.259809916373522,-0.0090592619351259,0.0,0.0,1.5654545454545457,1.2843434343434343,0.0,0.8766697214344923,0.8418355041003377,26.15157271913327
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,4.556878570587827,144.19937615496386,1.3922241003929958,110.80769972561929,0.9987364539842992,0.7158749162702672,0.560410355695567,5.90623265983314,-0.0042825134807015,0.0,0.0,1.6467676767676769,1.2033333333333334,0.0,1.6730327339206588,0.888503105286322,31.644331513613817
