case_id,size_ratio,status,rank_100_continuum_error,rank_100_particle_error,rank_100_error_ratio
ratio_1_494949_num_50,1.494949,completed,5.770141520536022,127.8787117820291,22.1621447804888
ratio_1_747475_num_75,1.747475,completed,5.279283961724388,138.0615784299893,26.15157271913327
ratio_2_000000_num_100,2.0,completed,4.556878570587827,144.19937615496386,31.644331513613817
