case_id,size_ratio,rank,continuum_error_percent,particle_error_percent,particle_first_to_continuum_first_ratio
ratio_1_000000_num_1,1.0,0,11.163556141501337,577.2949362480311,51.712458730054216
ratio_1_000000_num_1,1.0,8,10.749232646685003,100.95378311605164,9.391719989164544
ratio_1_000000_num_1,1.0,14,10.550154424788648,100.68120508544382,9.543102501787388
ratio_1_000000_num_1,1.0,27,10.139796721930512,98.59197926315916,9.723269801841576
ratio_1_000000_num_1,1.0,100,9.04242063358271,94.76122134959655,10.479629867876548
ratio_1_252525_num_26,1.252525,0,9.604218530442946,515.5909349918852,53.68379877629734
ratio_1_252525_num_26,1.252525,8,9.065863382537044,111.54194916761864,12.303510924560623
ratio_1_252525_num_26,1.252525,14,8.876690064581823,110.87509950914723,12.490590377999247
ratio_1_252525_num_26,1.252525,27,8.498653996312548,109.51926726001916,12.886660323803994
ratio_1_252525_num_26,1.252525,100,7.516578076007994,105.70973145777396,14.063544659395824
ratio_1_494949_num_50,1.494949,0,7.530082718370724,495.2027821688011,65.76325927478624
ratio_1_494949_num_50,1.494949,8,7.085102495239932,135.74413391083698,19.159092476366514
ratio_1_494949_num_50,1.494949,14,6.907495443020757,133.45746710592633,19.32067392686737
ratio_1_494949_num_50,1.494949,27,6.623721843000535,132.63729424437997,20.024586990249503
ratio_1_494949_num_50,1.494949,100,5.770141520536022,127.8787117820291,22.1621447804888
ratio_1_747475_num_75,1.747475,0,7.365282942345162,486.5747388844376,66.06327858594236
ratio_1_747475_num_75,1.747475,8,6.811703354219993,148.42208438432695,21.789275995463946
ratio_1_747475_num_75,1.747475,14,6.511046869790553,146.01474860648617,22.42569459666371
ratio_1_747475_num_75,1.747475,27,6.139014078436581,143.56051462239355,23.38494631029646
ratio_1_747475_num_75,1.747475,100,5.279283961724388,138.0615784299893,26.15157271913327
ratio_2_000000_num_100,2.0,0,6.590947520531947,483.9510111394502,73.42662183727889
ratio_2_000000_num_100,2.0,8,5.996268595743866,158.72661504731803,26.470898111532513
ratio_2_000000_num_100,2.0,14,5.728392011606181,153.3657385471839,26.772912579385736
ratio_2_000000_num_100,2.0,27,5.374077288933678,150.18558221690694,27.94630113083221
ratio_2_000000_num_100,2.0,100,4.556878570587827,144.19937615496386,31.644331513613817
