case_id,size_ratio,small_only_spacetime_error_percent,small_only_time_averaged_error_percent,all_particle_xz_spacetime_error_percent,all_particle_xz_time_averaged_error_percent,small_only_minus_all_particle_xz_percentage_points
ratio_1_000000_num_1,1.0,93.30159094696675,74.8164808121877,92.6873198150537,73.64694047656779,0.6142711319130569
ratio_1_252525_num_26,1.252525,126.13838445515786,99.3501777139398,102.48737915529624,79.53850098214059,23.651005299861623
ratio_1_494949_num_50,1.494949,145.3066390794289,111.8275829918119,123.80009418664726,95.45870123707536,21.506544892781633
ratio_1_747475_num_75,1.747475,145.0349640234215,112.59343453117705,133.90440068102603,104.18104689189548,11.130563342395476
ratio_2_000000_num_100,2.0,145.6136731058213,111.84831621036287,140.3589388034058,108.15076677043416,5.2547343024155
