case_id,size_ratio,species,particle_count,interval_count,median_row_displacement,p95_row_displacement,p99_row_displacement,maximum_row_displacement,median_nearest_distance,p95_nearest_distance,median_row_to_nearest_ratio,p95_row_to_nearest_ratio,mean_stored_partner_nearest_fraction,minimum_stored_partner_nearest_fraction
ratio_1_000000_num_1,1.0,0,5396,200,1.5753205622122466,6.518855758052625,9.238237152774445,12.411828998269531,0.6429535929773794,1.1011869519608526,2.5031896676486447,10.233677405015735,0.05799573758339511,0.04558932542624166
ratio_1_000000_num_1,1.0,1,5396,200,1.5431896019736508,6.237070289247724,9.258978650450958,12.3068641738258,0.6399962377617017,1.1058303704853927,2.438252667222877,10.006051231845447,0.05912620459599704,0.04503335804299481
ratio_1_252525_num_26,1.252525,0,3925,200,1.6492923493349514,6.934585498851294,9.45138213004376,12.46890462955831,0.6733538066539975,1.1670153854431198,2.6324498755104346,10.254163116262196,0.04881528662420382,0.03643312101910828
ratio_1_252525_num_26,1.252525,1,7701,200,1.4292021812162696,5.836294907600564,8.763979549475804,13.423091251740003,0.5345987840868478,1.0578920047846272,2.5814550087561776,10.928479408551398,0.04528827425009739,0.03298272951564732
ratio_1_494949_num_50,1.494949,0,3137,200,1.6811779125383572,7.100382177753736,9.39878551231652,12.908470701437777,0.6791255921126182,1.2146809009836508,2.682323526286382,10.400371298729532,0.039270003187759,0.028371055148230795
ratio_1_494949_num_50,1.494949,1,10462,200,1.3603685807126267,5.305821369863558,8.18577392732978,12.696338538256295,0.4563446501751655,1.0076515939492934,2.8454632545530583,11.697767515904818,0.03510800994073791,0.023991588606385013
ratio_1_747475_num_75,1.747475,0,2623,200,1.6962086088117787,7.177377874938586,9.423466301026878,11.920083529503952,0.6947688448070155,1.2584109655632496,2.6628071807165172,10.36986447667134,0.04012771635531834,0.028974456728936334
ratio_1_747475_num_75,1.747475,1,13961,200,1.342738024563145,5.284190792861597,7.884659841950131,13.341381984609804,0.4040338378629358,0.936693178104123,3.174904250092254,13.053664207233002,0.027807105508201414,0.01883819210658262
ratio_2_000000_num_100,2.0,0,2280,200,1.7027072138477761,7.094768103846755,9.440723958896063,12.10230021772057,0.710535997168026,1.2949930775799647,2.6306654350200582,9.82112107261572,0.04162938596491229,0.030263157894736843
ratio_2_000000_num_100,2.0,1,18169,200,1.334440920932017,5.209183154382691,7.65834938204216,12.919798597399438,0.3648411223379757,0.8782051813952146,3.506908006961667,14.30318119379827,0.023448456161593922,0.014475205019538775
