grid_size,cutoff,rank,mean_continuum_error,mean_particle_error,minimum_route_ratio,median_route_ratio,maximum_route_ratio
75,2.0,27,11.17083640871544,134.59183965670388,6.721682078364269,13.979490478022823,19.855241667080374
75,2.0,100,10.346900609715162,128.46650190174418,6.84495170344432,14.414855481165294,20.972591750401502
75,3.0,27,7.379055312951462,127.13844784986406,9.723574068170155,20.024977730344858,27.946426926684982
75,3.0,100,6.456362374106495,122.27983539518202,10.479918820414376,22.162496565580785,31.644551661123394
75,4.0,27,5.304925244764569,119.9520610647438,12.75532963861094,26.364878173278278,37.1054034666814
75,4.0,100,4.323563881419428,116.01549228862955,14.832091494714955,31.58422602273637,45.28667016801951
100,2.0,27,11.171667035088626,134.5903832292574,6.7208678515939235,13.978175608647296,19.854848730299494
100,2.0,100,10.348093707675632,128.46552735281472,6.843512255301091,14.413836185863229,20.971794179478305
100,3.0,27,7.379198617954908,127.13828524148204,9.723269801841578,20.024586990249507,27.94630113083222
100,3.0,100,6.456480241568852,122.27976976219652,10.479629867876552,22.162144780488802,31.644331513613825
100,4.0,27,5.304953673574549,119.95198063144892,12.75525694227412,26.364735586434858,37.1050702147709
100,4.0,100,4.323599828059174,116.01544446137196,14.83189282611767,31.584045543522326,45.28647340301405
125,2.0,27,11.171687064835885,134.59083835164313,6.720888365592408,13.978271762497618,19.854758731831318
125,2.0,100,10.348086221048717,128.46573009485192,6.843595283859827,14.41382556608549,20.971603242874682
125,3.0,27,7.379182097298994,127.13826101681367,9.723284555487348,20.024657777608127,27.946324915992804
125,3.0,100,6.456490719459887,122.27972869966686,10.47960571885325,22.16210148916511,31.644270250391006
125,4.0,27,5.304955176617458,119.95195776214082,12.755239051920933,26.36472045651635,37.10509913967963
125,4.0,100,4.3235955675495985,116.01542795484927,14.831936500690913,31.58402067524542,45.286386861929834
