table,case_id,metric,maximum_absolute_difference,passed
time,ratio_1_494949_num_50,grid_time_fraction_phi_lt_tolerance_percent,1.1102230246251565e-16,True
time,ratio_1_494949_num_50,average_field_consistency_percent,0.0,True
time,ratio_1_494949_num_50,size_ratio,0.0,True
time,ratio_2_000000_num_100,spacetime_relative_l2_error_percent,2.842170943040401e-14,True
time,ratio_2_000000_num_100,mean_snapshot_l2_error_percent,2.842170943040401e-14,True
time,ratio_2_000000_num_100,median_snapshot_l2_error_percent,1.4210854715202004e-14,True
time,ratio_2_000000_num_100,p95_snapshot_l2_error_percent,1.1368683772161603e-13,True
time,ratio_2_000000_num_100,maximum_snapshot_l2_error_percent,8.526512829121202e-14,True
time,ratio_2_000000_num_100,mean_spatial_correlation,1.1102230246251565e-16,True
time,ratio_2_000000_num_100,minimum_spatial_correlation,3.3306690738754696e-16,True
time,ratio_2_000000_num_100,time_averaged_l2_error_percent,4.263256414560601e-14,True
time,ratio_2_000000_num_100,mean_absolute_integral_error_percent,1.2684298056342413e-14,True
time,ratio_2_000000_num_100,maximum_volume_fraction,3.3306690738754696e-16,True
time,ratio_2_000000_num_100,minimum_volume_fraction,1.9949319973733282e-17,True
time,ratio_2_000000_num_100,grid_time_fraction_phi_gt_one_percent,2.220446049250313e-16,True
time,ratio_2_000000_num_100,grid_time_fraction_phi_lt_tolerance_percent,8.326672684688674e-17,True
time,ratio_2_000000_num_100,average_field_consistency_percent,0.0,True
time,ratio_2_000000_num_100,size_ratio,0.0,True
energy,ratio_1_000000_num_1,continuum_training_energy_percent,4.263256414560601e-14,True
energy,ratio_1_000000_num_1,particle_training_energy_percent,1.4210854715202004e-14,True
energy,ratio_1_000000_num_1,size_ratio,0.0,True
energy,ratio_1_494949_num_50,continuum_training_energy_percent,7.105427357601002e-14,True
energy,ratio_1_494949_num_50,particle_training_energy_percent,1.4210854715202004e-14,True
energy,ratio_1_494949_num_50,size_ratio,0.0,True
energy,ratio_2_000000_num_100,continuum_training_energy_percent,2.842170943040401e-14,True
energy,ratio_2_000000_num_100,particle_training_energy_percent,1.4210854715202004e-14,True
energy,ratio_2_000000_num_100,size_ratio,0.0,True
