route,rank,spacetime_relative_l2_error_percent,mean_snapshot_l2_error_percent,median_snapshot_l2_error_percent,p95_snapshot_l2_error_percent,maximum_snapshot_l2_error_percent,mean_spatial_correlation,minimum_spatial_correlation,time_averaged_l2_error_percent,mean_absolute_integral_error_percent,maximum_volume_fraction,minimum_volume_fraction,grid_time_fraction_phi_gt_one_percent,grid_time_fraction_phi_lt_tolerance_percent,average_field_consistency_percent,case_id,size_ratio,grid_size,cutoff,evaluation_role,runtime_seconds
CG then POD,27,15.411480109305522,15.407610332980427,15.331780672507225,16.05715624853573,16.46718095547912,0.9839011150295974,0.9816087907133775,2.3579679355675283,0.004732654679621294,0.34906297935302644,-0.003552209508491869,0.0,0.2729517396184063,0.0,ratio_1_000000_num_1,1.0,75,2.0,training_case_diagnostic,5.107038730999193
Particle POD then CG,27,103.59106965178634,98.10654044400238,85.34536790747993,148.45271398822888,151.21174931381123,0.6818770114787972,0.5335857005365744,79.715969842699,0.3236112639324579,2.632167867728136,0.0,0.5922334455667788,0.0,0.0,ratio_1_000000_num_1,1.0,75,2.0,training_case_diagnostic,5.107038730999193
CG then POD,100,14.462386203813143,14.458039218788072,14.499414138500363,15.066135516544447,15.507173804741969,0.9858364649993214,0.9837079723200618,2.2853753310279905,0.004951792390748374,0.36043032136878983,-0.01234080182152936,0.0,0.8238832772166105,0.0,ratio_1_000000_num_1,1.0,75,2.0,training_case_diagnostic,5.107038730999193
Particle POD then CG,100,98.9943350816604,93.0723431210109,78.91501386767777,142.88974928231545,145.25173324043567,0.6996259598740544,0.5491673472072317,76.83194819387509,0.314800905630824,2.4990710252920953,0.0,0.5297418630751964,0.0,0.0,ratio_1_000000_num_1,1.0,75,2.0,training_case_diagnostic,5.107038730999193
CG then POD,27,10.139512182958196,10.13525177412492,10.11553047494739,10.63936204901374,11.026163814672383,0.9929837571066645,0.991691120458781,1.6717445663386,0.00022389242051244234,0.34065071586263723,-0.0038829511688301833,0.0,0.19124579124579125,0.0,ratio_1_000000_num_1,1.0,75,3.0,training_case_diagnostic,8.810507656999107
Particle POD then CG,27,98.59229772610767,92.72922346618964,78.85202054790655,142.184874392134,144.86755791323225,0.713173009322194,0.5626191329978671,77.94502839343943,0.340791906257941,2.236074370810002,0.0,0.5478787878787879,0.0,0.0,ratio_1_000000_num_1,1.0,75,3.0,training_case_diagnostic,8.810507656999107
CG then POD,100,9.04218982860124,9.036663021434698,9.022670648314493,9.487328817324006,9.96349768303911,0.9944245177795169,0.9932223936542431,1.5918182570311477,0.00025866830865051865,0.34630128450951914,-0.010786269395333996,0.0,0.9546127946127947,0.0,ratio_1_000000_num_1,1.0,75,3.0,training_case_diagnostic,8.810507656999107
Particle POD then CG,100,94.76141536251757,88.43175234112097,73.55425631575956,137.62398242842133,140.02522179623378,0.7279717798285464,0.5745999929814942,75.22215071688967,0.3303249848687318,2.2217762471414053,-3.745190147338549e-18,0.4967003367003367,0.0,0.0,ratio_1_000000_num_1,1.0,75,3.0,training_case_diagnostic,8.810507656999107
CG then POD,27,7.3891757777791565,7.382037205208638,7.391478979799363,7.986003504930676,8.230111681216435,0.9962473846220632,0.9953415075935282,1.2927785860558707,4.186186989258974e-05,0.3259252902144158,-0.0015071956729419403,0.0,0.14078563411896744,0.0,ratio_1_000000_num_1,1.0,75,4.0,training_case_diagnostic,13.868348255000456
Particle POD then CG,27,94.25137280321252,88.23934609267097,72.99243144226683,136.3304241097015,138.33601032965737,0.7367351025465853,0.5864466258487062,75.95850820001326,0.3633578442042381,1.9666260298014595,0.0,0.515016835016835,0.0,0.0,ratio_1_000000_num_1,1.0,75,4.0,training_case_diagnostic,13.868348255000456
CG then POD,100,6.138534938072106,6.1281237061101015,6.1043320836906565,6.685978113394118,6.818689955068413,0.9974124211026595,0.9968051001345263,1.1674493152150947,6.585977144907339e-05,0.3286711039709569,-0.011873926252813673,0.0,1.1507070707070708,0.0,ratio_1_000000_num_1,1.0,75,4.0,training_case_diagnostic,13.868348255000456
Particle POD then CG,100,91.04731184498988,84.5932058178127,68.8867968889041,132.63419517342462,134.5889720463059,0.7489775033862651,0.5966189311002005,73.40189577357964,0.3505244394375682,1.9321600107242187,0.0,0.4791021324354658,0.0,0.0,ratio_1_000000_num_1,1.0,75,4.0,training_case_diagnostic,13.868348255000456
CG then POD,27,15.41298941007268,15.409134930169724,15.344095234210043,16.05875152884978,16.465927401257286,0.9838978319442685,0.9816113407437306,2.3566101588929182,0.0012080210996830375,0.3514508090014997,-0.004670686975251942,0.0,0.2678787878787879,0.0,ratio_1_000000_num_1,1.0,100,2.0,training_case_diagnostic,7.24784392699803
Particle POD then CG,27,103.58866502311507,98.10450887324892,85.3521105002775,148.47305365278146,151.22334495726872,0.6818717129975707,0.5336018957654394,79.71473100267661,0.32722331823222595,2.6717458437520865,0.0,0.5924242424242424,0.0,0.0,ratio_1_000000_num_1,1.0,100,2.0,training_case_diagnostic,7.24784392699803
CG then POD,100,14.465064399338846,14.460724072548265,14.505265470733882,15.071567822716952,15.514792290613618,0.9858310856882024,0.9836915703531147,2.283955320669845,0.0013278673625053174,0.36667116753307966,-0.01710645464834288,0.0,0.8302020202020203,0.0,ratio_1_000000_num_1,1.0,100,2.0,training_case_diagnostic,7.24784392699803
Particle POD then CG,100,98.99184549059491,93.07053516790491,78.90797320304841,142.9003625454496,145.23034566535142,0.699618684037847,0.5491571690618635,76.83100909182122,0.318824326540953,2.520703445732731,0.0,0.5354545454545455,0.0,0.0,ratio_1_000000_num_1,1.0,100,2.0,training_case_diagnostic,7.24784392699803
CG then POD,27,10.139796721930512,10.135535263596388,10.1148278916272,10.637156794897603,11.026624591214892,0.9929833606836981,0.9916904252050588,1.6715817418897698,2.9013831254238767e-05,0.3413604210388974,-0.0037597574574251167,0.0,0.19464646464646465,0.0,ratio_1_000000_num_1,1.0,100,3.0,training_case_diagnostic,14.25636283499989
Particle POD then CG,27,98.59197926315917,92.72882962670825,78.85235831072919,142.1867638962065,144.8684100400935,0.7131750676382044,0.5626218242492989,77.94493966719342,0.3418853133544617,2.2733677682587325,0.0,0.5507070707070707,0.0,0.0,ratio_1_000000_num_1,1.0,100,3.0,training_case_diagnostic,14.25636283499989
