case_id,size_ratio,rank,continuum_error_min,continuum_error_median,continuum_error_max,particle_error_min,particle_error_median,particle_error_max,route_ratio_min,route_ratio_median,route_ratio_max,baseline_continuum_error,baseline_particle_error,baseline_route_ratio,continuum_range_percent,particle_range_percent,route_ratio_range_percent
ratio_1_000000_num_1,1.0,27,1.2927424482643037,1.6715844198069332,2.3579679355675283,75.95844837504083,77.94493966719342,79.715969842699,33.80706270016031,46.6293683638222,58.757603633288426,1.6715817418897696,77.94493966719342,46.62945144344213,63.72559956888244,4.820738182237229,53.50811592409825
ratio_1_000000_num_1,1.0,100,1.1674306681028186,1.591595515377248,2.2853753310279905,73.4018605299329,75.22211881715891,76.83194819387509,33.61896278075038,47.26206943628033,62.87470642622198,1.5915891820559365,75.22211881715891,47.262270732445344,70.24078044317102,4.5599455557475626,61.90084224071709
ratio_1_494949_num_50,1.494949,27,0.996326176424054,1.2791370077264193,1.7344728546962895,97.56962956293636,101.51366439469074,105.0544809625241,60.56833011966049,79.36105654164795,97.92940491950802,1.2791370077264193,101.51366439469074,79.36105654164795,57.70661577403988,7.373245212079256,47.07734048404557
ratio_1_494949_num_50,1.494949,100,0.9171959223595441,1.2307790325489427,1.6871487549818949,94.62955172183176,98.26308396175818,101.4331738198534,60.12106135889712,79.83811989245169,103.17266945364443,1.2307790325489427,98.26308396175818,79.83811989245169,62.558169440681716,6.923884152332786,53.92362464539653
ratio_2_000000_num_100,2.0,27,1.141203547959981,1.5821009881394004,2.117975978123862,110.12730913862679,114.66827811248066,118.68279229663139,56.03594824609983,72.47848207675675,96.50102813273303,1.5821009881394004,114.66827811248066,72.47848207675675,61.7389431829251,7.461072319942175,55.83047371739869
ratio_2_000000_num_100,2.0,100,0.980750570237288,1.3922600680553672,1.8968097126721837,106.60155312079584,110.80770017084483,114.41911358618258,60.32187246921646,79.5883633476718,108.69385069037781,1.3922241003929954,110.80769972561927,79.5904191676761,65.79825346912985,7.055069715141173,60.77613201063096
