representation,case_count,mean_rank100_error_percent,minimum_rank100_error_percent,maximum_rank100_error_percent
continuum_first,5,6.433060552487788,4.556878570587827,9.04242063358271
labelled_all_particle_xyz,5,122.12212383487056,94.76122134959655,144.19937615496386
labelled_all_particle_xz,5,118.64762652828581,92.6873198150537,140.3589388034058
labelled_small_species_xz,5,131.07905032215928,93.30159094696675,145.6136731058213
