model,rank,method,operation,block,calls_per_block,time_per_query_ms
validation_selected_rank,6,piecewise_linear,full_field_prediction,8,40,0.093913125
validation_selected_rank,6,piecewise_linear,full_field_prediction,9,40,0.0993905
validation_selected_rank,6,piecewise_linear,full_field_prediction,10,40,0.096042025
validation_selected_rank,6,piecewise_linear,full_field_prediction,11,40,0.099123125
validation_selected_rank,6,piecewise_linear,full_field_prediction,12,40,0.09579937499999999
validation_selected_rank,6,piecewise_linear,full_field_prediction,13,40,0.10119942500000001
validation_selected_rank,6,piecewise_linear,full_field_prediction,14,40,0.10270844999999999
validation_selected_rank,6,piecewise_linear,full_field_prediction,15,40,0.10294289999999999
validation_selected_rank,6,piecewise_linear,full_field_prediction,16,40,0.10000515000000001
validation_selected_rank,6,piecewise_linear,full_field_prediction,17,40,0.0962592
validation_selected_rank,6,piecewise_linear,full_field_prediction,18,40,0.11079270000000001
validation_selected_rank,6,piecewise_linear,full_field_prediction,19,40,0.093541475
validation_selected_rank,6,piecewise_linear,full_field_prediction,20,40,0.11023485
validation_selected_rank,6,piecewise_linear,full_field_prediction,21,40,0.09977185
validation_selected_rank,6,piecewise_linear,full_field_prediction,22,40,0.10538149999999999
validation_selected_rank,6,piecewise_linear,full_field_prediction,23,40,0.12041237499999999
validation_selected_rank,6,piecewise_linear,full_field_prediction,24,40,0.099101525
validation_selected_rank,6,pchip,coefficient_prediction,0,40,0.026547300000000003
validation_selected_rank,6,pchip,coefficient_prediction,1,40,0.028847875000000002
validation_selected_rank,6,pchip,coefficient_prediction,2,40,0.029871150000000003
validation_selected_rank,6,pchip,coefficient_prediction,3,40,0.050710925
validation_selected_rank,6,pchip,coefficient_prediction,4,40,0.0607827
validation_selected_rank,6,pchip,coefficient_prediction,5,40,0.0613178
validation_selected_rank,6,pchip,coefficient_prediction,6,40,0.04562365
validation_selected_rank,6,pchip,coefficient_prediction,7,40,0.048684424999999996
validation_selected_rank,6,pchip,coefficient_prediction,8,40,0.065222075
validation_selected_rank,6,pchip,coefficient_prediction,9,40,0.07341777499999999
validation_selected_rank,6,pchip,coefficient_prediction,10,40,0.049573125
validation_selected_rank,6,pchip,coefficient_prediction,11,40,0.0424977
validation_selected_rank,6,pchip,coefficient_prediction,12,40,0.051030774999999994
validation_selected_rank,6,pchip,coefficient_prediction,13,40,0.0376263
validation_selected_rank,6,pchip,coefficient_prediction,14,40,0.028749025
validation_selected_rank,6,pchip,coefficient_prediction,15,40,0.030679099999999997
validation_selected_rank,6,pchip,coefficient_prediction,16,40,0.036653025
validation_selected_rank,6,pchip,coefficient_prediction,17,40,0.027132325000000002
validation_selected_rank,6,pchip,coefficient_prediction,18,40,0.028482025
validation_selected_rank,6,pchip,coefficient_prediction,19,40,0.029683975
validation_selected_rank,6,pchip,coefficient_prediction,20,40,0.029597475
validation_selected_rank,6,pchip,coefficient_prediction,21,40,0.02980355
validation_selected_rank,6,pchip,coefficient_prediction,22,40,0.0310958
validation_selected_rank,6,pchip,coefficient_prediction,23,40,0.029289799999999998
validation_selected_rank,6,pchip,coefficient_prediction,24,40,0.028077675000000003
validation_selected_rank,6,pchip,full_field_prediction,0,40,0.07136215
validation_selected_rank,6,pchip,full_field_prediction,1,40,0.074149825
validation_selected_rank,6,pchip,full_field_prediction,2,40,0.077571375
validation_selected_rank,6,pchip,full_field_prediction,3,40,0.0991524
validation_selected_rank,6,pchip,full_field_prediction,4,40,0.071133475
validation_selected_rank,6,pchip,full_field_prediction,5,40,0.071730375
validation_selected_rank,6,pchip,full_field_prediction,6,40,0.06692582500000001
validation_selected_rank,6,pchip,full_field_prediction,7,40,0.07679122499999999
validation_selected_rank,6,pchip,full_field_prediction,8,40,0.0708154
validation_selected_rank,6,pchip,full_field_prediction,9,40,0.09092265000000001
validation_selected_rank,6,pchip,full_field_prediction,10,40,0.0702193
validation_selected_rank,6,pchip,full_field_prediction,11,40,0.06537205
validation_selected_rank,6,pchip,full_field_prediction,12,40,0.0673144
validation_selected_rank,6,pchip,full_field_prediction,13,40,0.0762791
validation_selected_rank,6,pchip,full_field_prediction,14,40,0.069391375
validation_selected_rank,6,pchip,full_field_prediction,15,40,0.07649475
validation_selected_rank,6,pchip,full_field_prediction,16,40,0.072694975
validation_selected_rank,6,pchip,full_field_prediction,17,40,0.06529435
validation_selected_rank,6,pchip,full_field_prediction,18,40,0.088005025
validation_selected_rank,6,pchip,full_field_prediction,19,40,0.077104725
validation_selected_rank,6,pchip,full_field_prediction,20,40,0.071717325
validation_selected_rank,6,pchip,full_field_prediction,21,40,0.07216025000000001
validation_selected_rank,6,pchip,full_field_prediction,22,40,0.08674705
validation_selected_rank,6,pchip,full_field_prediction,23,40,0.078833075
validation_selected_rank,6,pchip,full_field_prediction,24,40,0.0647691
paper_rank15,15,frozen_nn,coefficient_prediction,0,40,0.088754175
paper_rank15,15,frozen_nn,coefficient_prediction,1,40,0.10659145
paper_rank15,15,frozen_nn,coefficient_prediction,2,40,0.100064075
paper_rank15,15,frozen_nn,coefficient_prediction,3,40,0.15024105000000001
paper_rank15,15,frozen_nn,coefficient_prediction,4,40,0.10615285
paper_rank15,15,frozen_nn,coefficient_prediction,5,40,0.101129775
paper_rank15,15,frozen_nn,coefficient_prediction,6,40,0.13589642500000002
paper_rank15,15,frozen_nn,coefficient_prediction,7,40,0.10694967500000001
paper_rank15,15,frozen_nn,coefficient_prediction,8,40,0.11799789999999999
paper_rank15,15,frozen_nn,coefficient_prediction,9,40,0.123328725
paper_rank15,15,frozen_nn,coefficient_prediction,10,40,0.10685195
