model,rank,external_case_count,mean_rom_error_percent,mean_field_variability_percent,ratio_of_mean_rom_to_field_variability,median_casewise_rom_to_field_variability_ratio,fraction_rom_not_above_field_variability,mean_coefficient_error_percent,mean_modal_variability_norm_percent,ratio_of_mean_coefficient_to_modal_variability,median_casewise_coefficient_to_modal_variability_ratio,fraction_coefficient_error_not_above_modal_variability
paper_rank15,15,10,0.8598677038134136,0.930909453997755,0.9236856496845581,0.887348474647269,0.6,0.7736908301540404,0.5669896319697271,1.3645590439920947,1.2831558589320142,0.4
validation_selected_rank,6,10,0.8578501575244909,0.930909453997755,0.921518364477325,0.8603626385228735,0.7,0.6510692056908906,0.36629596932674735,1.7774402674633765,1.6597996756123454,0.2
