case_id,size_ratio,continuum_spacetime_error_percent,labelled_xyz_error_percent,continuum_first_error_percent,XYZ_particle_error_percent,XZ_particle_error_percent,small_only_spacetime_error_percent,all_particle_xz_spacetime_error_percent,xyz_to_continuum_error_ratio,xz_to_continuum_error_ratio,small_only_to_continuum_error_ratio
ratio_1_000000_num_1,1.0,9.04242063358271,94.76122134959655,9.04242063358271,94.76122134959655,92.6873198150537,93.30159094696675,92.6873198150537,10.479629867876548,10.25027739484067,10.31820955115197
ratio_1_252525_num_26,1.252525,7.516578076007994,105.70973145777396,7.516578076007994,105.70973145777396,102.48737915529624,126.13838445515786,102.48737915529624,14.063544659395824,13.634845287169108,16.781357577828707
ratio_1_494949_num_50,1.494949,5.770141520536022,127.8787117820291,5.770141520536022,127.8787117820291,123.80009418664726,145.3066390794289,123.80009418664726,22.1621447804888,21.45529598295654,25.182508706637496
ratio_1_747475_num_75,1.747475,5.279283961724388,138.0615784299893,5.279283961724388,138.0615784299893,133.90440068102603,145.0349640234215,133.90440068102603,26.15157271913327,25.364121659651826,27.472468818678266
ratio_2_000000_num_100,2.0,4.556878570587827,144.19937615496386,4.556878570587827,144.19937615496386,140.3589388034058,145.6136731058213,140.3589388034058,31.644331513613817,30.80155343821238,31.954696806203785
