model,rank,method,case_count,mean_projection_error_percent,mean_coefficient_error_percent,mean_rom_error_percent,median_rom_error_percent,maximum_rom_error_percent,minimum_prediction,maximum_prediction
validation_selected_rank,6,frozen_nn,10,0.5333208527841324,0.6510692056909007,0.8578501575244903,0.8143109729288709,1.32850392085006,-1.3298322080818913e-06,0.5376565214047758
validation_selected_rank,6,pchip,10,0.5333208527841324,0.744098726817374,0.930826268781964,0.8201047033712716,1.840082335130312,-2.011363621709169e-06,0.5374871269109981
validation_selected_rank,6,piecewise_linear,10,0.5333208527841324,0.7059416475167766,0.903361946563739,0.8022556505865406,1.8041753077471037,-1.8200103838254264e-06,0.5374100086697995
paper_rank15,15,frozen_nn,10,0.3611683020482593,0.7736908301540416,0.8598677038134133,0.8254669534598715,1.449864490091903,-3.329090392212977e-06,0.5380274272264752
paper_rank15,15,pchip,10,0.3611683020482593,0.9390270396054134,1.0117588504622606,0.8747725469549397,2.0635340946289857,-1.0506133117886652e-05,0.538061407444071
paper_rank15,15,piecewise_linear,10,0.3611683020482593,0.8956250154823916,0.9725201128942886,0.8685935084436491,1.9915775625613896,-9.130397681435136e-06,0.5380141028549413
