model,rank,method,evaluation_role,case_count,mean_projection_error_percent,mean_coefficient_error_percent,mean_rom_error_percent,median_rom_error_percent,maximum_rom_error_percent,maximum_pythagorean_residual
validation_selected_rank,6,pchip,fitting_loo,88,0.5127751283936175,0.8914574514912299,1.048879505110821,0.9435909785695173,2.542926396718485,1.0842021724855044e-17
validation_selected_rank,6,piecewise_linear,fitting_loo,88,0.5127751283936175,0.841961111177291,1.004672365535991,0.9194365447077717,2.2699917721168785,8.944667923005412e-18
paper_rank15,15,pchip,fitting_loo,88,0.2963806656211784,1.0554544197877525,1.101063592996277,1.0093938712507684,2.6060688681603548,1.1221492485224971e-17
paper_rank15,15,piecewise_linear,fitting_loo,88,0.2963806656211784,1.0028000747905323,1.0504197064560976,0.9690335730738862,2.3311570498667935,9.64939933512099e-18
