model,rank,method,evaluation_role,case_index,source_index,simulation_number,size_ratio,truth_norm,projection_error_percent,coefficient_error_percent,rom_error_percent,pythagorean_residual,integral_error_percent,minimum_prediction,maximum_prediction,fraction_phi_lt_threshold_percent,fraction_phi_gt_one_percent,filename
validation_selected_rank,6,frozen_nn,fitting,19,21,22,1.212121,13.207088409426541,0.660101996558756,1.4079910677078655,1.5550477460856353,2.303929616531697e-18,0.014609233104087915,-1.600138806577471e-06,0.4636718524809396,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_212121_num_22.stat
validation_selected_rank,6,frozen_nn,fitting,20,22,23,1.222222,13.340951901053115,0.5908439924109977,0.9755891495121392,1.1405572375001445,-2.4936649967166602e-18,0.011011663332537603,-1.5009403210448457e-06,0.4687428678532413,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_222222_num_23.stat
validation_selected_rank,6,frozen_nn,fitting,21,23,24,1.232323,13.32410511045792,0.5263342283946864,1.217248034831681,1.326167598111744,5.339695699491109e-18,0.014281308981244724,-1.3613947719033102e-06,0.47340770053718223,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_232323_num_24.stat
validation_selected_rank,6,frozen_nn,fitting,22,24,25,1.242424,13.43435615998512,0.5646509006012318,0.33474836063416624,0.6564199147626786,-1.8634724839594607e-19,0.0018023053029722037,-1.219063151075334e-06,0.47779073888122736,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_242424_num_25.stat
validation_selected_rank,6,frozen_nn,fitting,23,25,26,1.252525,13.44689779541386,0.49158622574170163,0.3185147016912139,0.5857547545965243,2.019326546254252e-18,0.007634473530735689,-1.062741520760181e-06,0.4818849120404761,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_252525_num_26.stat
validation_selected_rank,6,frozen_nn,fitting,24,26,27,1.262626,13.578453961834699,0.5453420210989339,1.164745677579629,1.2860911372902921,-6.2341624917916505e-18,-0.0006741777485850246,-8.730507760917542e-07,0.4856240539775509,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_262626_num_27.stat
validation_selected_rank,6,frozen_nn,fitting,25,27,28,1.272727,13.526468346617014,0.6391856505687638,0.7729980731429301,1.0030375451476017,3.0696474008495844e-18,-0.0011953130869665567,-6.514768228737744e-07,0.48902267299841506,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_272727_num_28.stat
validation_selected_rank,6,frozen_nn,fitting,26,29,30,1.292929,13.687821896707566,0.5456622486500221,0.7065807858336796,0.8927506351222093,-3.042542346537447e-18,0.004379309907147948,-3.31442521889009e-07,0.49486888417311026,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_292929_num_30.stat
validation_selected_rank,6,frozen_nn,fitting,27,30,31,1.30303,13.76195028743179,0.6587324303307338,0.7831417769890331,1.0233471833326766,-5.271933063710765e-18,0.004432026382848103,-3.5792972601006454e-07,0.4973568471431385,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_303030_num_31.stat
validation_selected_rank,6,frozen_nn,fitting,28,32,33,1.323232,13.8560714405087,0.4806708976457209,0.8883952463042664,1.010094364650916,-2.358139725155972e-18,0.001016810804647716,-3.8688950324421785e-07,0.501786443758611,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_323232_num_33.stat
