model,rank,method,evaluation_role,case_index,source_index,simulation_number,size_ratio,mode,absolute_coefficient_error,field_normalised_error_percent
validation_selected_rank,6,frozen_nn,fitting,9,11,12,1.111111,6,0.013837214084010771,0.10791115914704415
validation_selected_rank,6,frozen_nn,fitting,10,12,13,1.121212,1,0.03957259917964784,0.30777659065755414
validation_selected_rank,6,frozen_nn,fitting,10,12,13,1.121212,2,0.08013270965092856,0.6232335678672991
validation_selected_rank,6,frozen_nn,fitting,10,12,13,1.121212,3,0.08044976820310293,0.6256994963695955
validation_selected_rank,6,frozen_nn,fitting,10,12,13,1.121212,4,0.08156742845824075,0.634392118789421
validation_selected_rank,6,frozen_nn,fitting,10,12,13,1.121212,5,0.038821525177823585,0.30193509931240436
validation_selected_rank,6,frozen_nn,fitting,10,12,13,1.121212,6,0.035441755279229215,0.2756488790953764
validation_selected_rank,6,frozen_nn,fitting,11,13,14,1.131313,1,0.02248663713845822,0.174827204587666
validation_selected_rank,6,frozen_nn,fitting,11,13,14,1.131313,2,0.025816363766122397,0.20071488155649342
validation_selected_rank,6,frozen_nn,fitting,11,13,14,1.131313,3,0.018240599677814648,0.14181547165276417
validation_selected_rank,6,frozen_nn,fitting,11,13,14,1.131313,4,0.025660472478765586,0.19950287116025894
validation_selected_rank,6,frozen_nn,fitting,11,13,14,1.131313,5,0.019520927008739565,0.1517696522998993
validation_selected_rank,6,frozen_nn,fitting,11,13,14,1.131313,6,0.0024474494281872825,0.019028222818069696
validation_selected_rank,6,frozen_nn,fitting,12,14,15,1.141414,1,0.05827228076554114,0.45242604140212517
validation_selected_rank,6,frozen_nn,fitting,12,14,15,1.141414,2,0.06755334305581817,0.5244842175509404
validation_selected_rank,6,frozen_nn,fitting,12,14,15,1.141414,3,0.03674623057698925,0.28529776796085204
validation_selected_rank,6,frozen_nn,fitting,12,14,15,1.141414,4,0.0799963255644106,0.6210915451798142
validation_selected_rank,6,frozen_nn,fitting,12,14,15,1.141414,5,0.08209748736402764,0.6374049673225124
