model,rank,case_set,case_identifier,evaluation_role,uncertainty_source,duration_scaling,size_ratio,source_simulation,truth_field_norm,projection_error_absolute,coefficient_error_absolute,coefficient_field_error_absolute,rom_error_absolute,projection_error_percent,coefficient_error_percent,rom_error_percent,pythagorean_residual,coefficient_field_equivalence_residual,field_uncertainty_absolute,field_uncertainty_percent,modal_uncertainty_norm_absolute,modal_uncertainty_norm_percent,rom_to_field_uncertainty_ratio,coefficient_to_modal_uncertainty_ratio,field_ratio_stable,modal_vector_ratio_stable,uncertainty_rule_frozen_before_evaluation,external_test_used_for_selection
validation_selected_rank,6,numbered,numbered_simulation_1,fitting,observed_numbered_windows,empirical_primary,1.0,1,12.534418235102383,0.07676428837256208,0.10750844042509501,0.10750844042509497,0.1321015546160694,0.6124280116773609,0.8577058656302039,1.0539105376755475,1.870248747537495e-18,4.163336342344337e-17,0.1445121491044985,1.152922667761278,0.049035828565945114,0.3912094494231992,0.9141207534083875,2.192446698040676,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_1,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.0,1,12.534418235102383,0.07676428837256208,0.10750844042509501,0.10750844042509497,0.1321015546160694,0.6124280116773609,0.8577058656302039,1.0539105376755475,1.870248747537495e-18,4.163336342344337e-17,0.13211841645049532,1.0540450619439232,0.04483039010641191,0.3576583233904332,0.9998723733232736,2.3981152109073105,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_11,fitting,observed_numbered_windows,empirical_primary,1.10101,11,12.762901664468703,0.08242085394782526,0.04304003474975785,0.04304003474975782,0.0929819431758063,0.6457846038043286,0.3372276609290128,0.7285329435285355,1.4484263398048536e-18,2.7755575615628914e-17,0.1436835084809138,1.1257902964254727,0.052543490231378824,0.4116892193697405,0.6471302389456725,0.819131629060577,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_11,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.10101,11,12.762901664468703,0.08242085394782526,0.04304003474975785,0.04304003474975782,0.0929819431758063,0.6457846038043286,0.3372276609290128,0.7285329435285355,1.4484263398048536e-18,2.7755575615628914e-17,0.13136084217267183,1.029239632382141,0.04803722570849059,0.3763816957253842,0.7078360768544932,0.895972532030519,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_21,fitting,observed_numbered_windows,empirical_primary,1.20202,21,13.19016377484132,0.0784072978397683,0.1171719980835085,0.11717199808350846,0.14098574924231247,0.5944376368496724,0.888328606707676,1.0688703464867217,2.0464316005663896e-18,4.163336342344337e-17,0.1396619024637195,1.058833725249933,0.05506181183810055,0.4174460058117281,1.009478939891549,2.128008399506211,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_21,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.20202,21,13.19016377484132,0.0784072978397683,0.1171719980835085,0.11717199808350846,0.14098574924231247,0.5944376368496724,0.888328606707676,1.0688703464867217,2.0464316005663896e-18,4.163336342344337e-17,0.12768413940496692,0.9680254285281078,0.050339569593450394,0.38164476539303616,1.1041758976434635,2.327632099952511,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_31,fitting,observed_numbered_windows,empirical_primary,1.30303,31,13.76195028743179,0.09065442958930703,0.10777558202934054,0.10777558202934058,0.14083253063807635,0.6587324303307353,0.7831417769890322,1.0233471833326764,5.3939058081153846e-18,4.163336342344337e-17,0.13966988065197172,1.0148988895819975,0.06563557468898791,0.47693512415119044,1.0083242713509701,1.642029989682146,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_31,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.30303,31,13.76195028743179,0.09065442958930703,0.10777558202934054,0.10777558202934058,0.14083253063807635,0.6587324303307353,0.7831417769890322,1.0233471833326764,5.3939058081153846e-18,4.163336342344337e-17,0.12769143336332656,0.9278585570821439,0.060006499415192455,0.4360319443240096,1.1029129122339696,1.7960651442709203,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_41,internal_validation,observed_numbered_windows,empirical_primary,1.40404,41,14.169638877135696,0.08698989207959697,0.11919812991264443,0.1191981299126444,0.1475650212573782,0.6139174952437562,0.8412220730973179,1.0414169516732776,5.502326025363935e-18,2.7755575615628914e-17,0.13168500515165177,0.929346233122005,0.05159374023972983,0.3641147151815007,1.1205909213994303,2.3103215498390197,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_41,internal_validation,observed_numbered_windows,inverse_sqrt_sensitivity,1.40404,41,14.169638877135696,0.08698989207959697,0.11919812991264443,0.1191981299126444,0.1475650212573782,0.6139174952437562,0.8412220730973179,1.0414169516732776,5.502326025363935e-18,2.7755575615628914e-17,0.12039136127116092,0.8496431159260233,0.047168928712714824,0.33288730306900893,1.2257110452054218,2.5270476384703957,True,True,True,False
