lower_duration_level,upper_duration_level,geometric_mean_duration,local_scaling_exponent
0,1,15.209203950715274,-0.4627665898770132
1,2,30.418407901430548,-0.5520955410190617
2,3,60.836815802861096,-0.48869811551540965
3,4,121.67363160572219,-0.28133611966792144
4,5,243.34726321144439,-0.33345286786941447
