model,rank,evaluation_role,uncertainty_source,duration_scaling,size_ratio,source_simulation,mode,window_count,sample_ddof,short_duration,target_duration,duration_exponent,duration_factor,mean_window_coefficient,canonical_coefficient,mean_vs_canonical_coefficient,short_modal_sd_absolute,target_modal_sd_absolute,short_modal_sd_percent,target_modal_sd_percent,naive_ten_window_mean_sd_absolute,truth_field_norm
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.0,1,1,10,1,34.372,343.72,-0.461059,0.3458923842818767,-11.59144080883797,-11.5916031336584,0.00016232482042966012,0.021943305053071464,0.007590022103831441,0.17506440778894455,0.06055344541301278,0.00693908233595878,12.534418235102383
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.0,1,2,10,1,34.372,343.72,-0.461059,0.3458923842818767,-4.673964981382044,-4.6735707102010515,-0.0003942711809923338,0.03612268127074423,0.012494560351392013,0.28818793655363595,0.09968201249581134,0.01142299480078572,12.534418235102383
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.0,1,3,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.910336148911259,0.9111603125898449,-0.000824163678585843,0.0552405442202452,0.019107283549369056,0.44071087452264185,0.1524385351675876,0.017468593892322488,12.534418235102383
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.0,1,4,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.20623129892407163,0.2058410510801815,0.00039024784389013467,0.08864001583495744,0.030659906419936732,0.7071729550775869,0.24460573953144701,0.02803043418718573,12.534418235102383
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.0,1,5,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.13523501859895665,0.135180890413131,5.4128185825647046e-05,0.041818340090819264,0.014464645360723867,0.3336280895247923,0.11539941534913781,0.013224120265452147,12.534418235102383
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.0,1,6,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.08629896823657952,0.08581269328029453,0.0004862749562849905,0.07519267471748178,0.026008573538561362,0.5998896263641996,0.20749725316907716,0.023778011546740033,12.534418235102383
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.10101,11,1,10,1,34.372,343.72,-0.461059,0.3458923842818767,-12.337821085519213,-12.337652934264904,-0.00016815125430902356,0.03956496733100888,0.013685220884157221,0.30999978195519456,0.10722656370734415,0.012511541231614113,12.762901664468703
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.10101,11,2,10,1,34.372,343.72,-0.461059,0.3458923842818767,-3.260564331553129,-3.2607741818890426,0.00020985033591358615,0.07656684414111076,0.02648388827690764,0.5999172143923127,0.20750679565789884,0.02421256207370287,12.762901664468703
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.10101,11,3,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.1839435942733237,0.18410042852455857,-0.00015683425123486083,0.03970733948548567,0.013734466328124544,0.311115297519129,0.10761241204545695,0.012556563259967311,12.762901664468703
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.10101,11,4,10,1,34.372,343.72,-0.461059,0.3458923842818767,-0.009265352744471569,-0.009704972616654269,0.0004396198721826998,0.07665163359286636,0.02651321630253734,0.6005815574546091,0.20773658686369767,0.02423937485261334,12.762901664468703
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.10101,11,5,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.0006160028393185434,0.0003073848750589593,0.00030861796425958414,0.06290038470839042,0.02175676403903246,0.4928376505751981,0.17046879002133372,0.019890848137933976,12.762901664468703
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.10101,11,6,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.023552982349865123,0.02345760689414407,9.537545572105288e-05,0.06510973919558867,0.022520962930333326,0.5101484043934227,0.17645644793323598,0.020589507371759956,12.762901664468703
