model,rank,package_path,package_sha256,manifest_sha256,hash_match,pod_formulation,coefficient_scaling,input_dimension,hidden_width,activation,training_index_count,validation_index_count,orthonormality_residual,deterministic_difference
validation_selected_rank,6,/Users/rallen/Documents/msc-rom-particle-systems/data/processed/cg_phi_validation_selected_rank_uncentred_raw.pt,df716ccd732b88e67a73eec7873d33ba5efb9c9b5bc7ca30aec2fe99f1edacf7,df716ccd732b88e67a73eec7873d33ba5efb9c9b5bc7ca30aec2fe99f1edacf7,True,uncentred,none,1,21,Tanh,90,10,1.9984014443252818e-15,0.0
paper_rank15,15,/Users/rallen/Documents/msc-rom-particle-systems/data/processed/cg_phi_paper_rank15_uncentred_raw.pt,571c12493edd5782859f617316badd4b58402b2b06a90e6d03fddccf6baea516,571c12493edd5782859f617316badd4b58402b2b06a90e6d03fddccf6baea516,True,uncentred,none,1,48,Tanh,90,10,2.4424906541753444e-15,0.0
