model,rank,evaluation_role,uncertainty_source,duration_scaling,size_ratio,source_simulation,window_count,sample_ddof,short_duration,target_duration,duration_exponent,duration_factor,short_field_variability_absolute,target_field_variability_absolute,short_field_variability_percent,target_field_variability_percent,naive_ten_window_mean_variability_absolute,ten_window_mean_vs_canonical_absolute,ten_window_mean_vs_canonical_percent,truth_field_norm
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.0,1,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.41779511683822385,0.1445121491044985,3.333183152196064,1.152922667761278,0.1321184164504953,0.006902566587909091,0.055068902747944015,12.534418235102383
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.10101,11,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.41539945662354444,0.1436835084809138,3.254741496441959,1.1257902964254727,0.13136084217267183,0.006588005061135123,0.051618395521104796,12.762901664468703
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.20202,21,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.403772701598152,0.1396619024637195,3.0611651871093577,1.058833725249933,0.12768413940496692,0.006348049714098315,0.048127148551456736,13.190163774841318
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.30303,31,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.4037957671197268,0.13966988065197172,2.9341463868569306,1.0148988895819975,0.12769143336332656,0.0056401919437892144,0.040983958130848396,13.76195028743179
validation_selected_rank,6,internal_validation,observed_numbered_windows,empirical_primary,1.40404,41,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.38071091222505277,0.13168500515165177,2.686807444608716,0.929346233122005,0.1203913612711609,0.00587721080650809,0.041477491822262534,14.169638877135696
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.505051,51,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.34050565089636853,0.11777831144999726,2.358533556442511,0.8157987952467144,0.10767734129906792,0.006451788547700697,0.04468871441271542,14.437176438141057
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.606061,61,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.3458863146028303,0.11963944204844427,2.348461767705559,0.8123150402265067,0.10937885656265021,0.005475738362548002,0.03717858050894216,14.728207176255644
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.707071,71,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.35640829775240046,0.12327891588742283,2.384414308723343,0.82475075036014,0.11270619978810559,0.005524630563472968,0.03696044185566813,14.947414820003644
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.808081,81,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.3336214295084017,0.11539711170018911,2.2053666867623885,0.7628195415000654,0.10550035934878584,0.005247429413500877,0.034687538017939286,15.127707855158457
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.909091,91,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.36377271886320295,0.1258262130642941,2.396536473901232,0.8289437149761787,0.1150350342239819,0.005705835597307774,0.03759007318021094,15.179102126120826
validation_selected_rank,6,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.0,1,10,1,34.372,343.72,-0.5,0.31622776601683794,0.41779511683822385,0.13211841645049532,3.333183152196064,1.0540450619439232,0.1321184164504953,0.006902566587909091,0.055068902747944015,12.534418235102383
validation_selected_rank,6,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.10101,11,10,1,34.372,343.72,-0.5,0.31622776601683794,0.41539945662354444,0.13136084217267183,3.254741496441959,1.029239632382141,0.13136084217267183,0.006588005061135123,0.051618395521104796,12.762901664468703
validation_selected_rank,6,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.20202,21,10,1,34.372,343.72,-0.5,0.31622776601683794,0.403772701598152,0.12768413940496692,3.0611651871093577,0.9680254285281079,0.12768413940496692,0.006348049714098315,0.048127148551456736,13.190163774841318
validation_selected_rank,6,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.30303,31,10,1,34.372,343.72,-0.5,0.31622776601683794,0.4037957671197268,0.12769143336332656,2.9341463868569306,0.9278585570821439,0.12769143336332656,0.0056401919437892144,0.040983958130848396,13.76195028743179
validation_selected_rank,6,internal_validation,observed_numbered_windows,inverse_sqrt_sensitivity,1.40404,41,10,1,34.372,343.72,-0.5,0.31622776601683794,0.38071091222505277,0.12039136127116092,2.686807444608716,0.8496431159260233,0.1203913612711609,0.00587721080650809,0.041477491822262534,14.169638877135696
validation_selected_rank,6,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.505051,51,10,1,34.372,343.72,-0.5,0.31622776601683794,0.34050565089636853,0.10767734129906793,2.358533556442511,0.7458337976295631,0.10767734129906792,0.006451788547700697,0.04468871441271542,14.437176438141057
validation_selected_rank,6,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.606061,61,10,1,34.372,343.72,-0.5,0.31622776601683794,0.3458863146028303,0.10937885656265021,2.348461767705559,0.7426488183774831,0.10937885656265021,0.005475738362548002,0.03717858050894216,14.728207176255644
validation_selected_rank,6,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.707071,71,10,1,34.372,343.72,-0.5,0.31622776601683794,0.35640829775240046,0.1127061997881056,2.384414308723343,0.7540180101061658,0.11270619978810559,0.005524630563472968,0.03696044185566813,14.947414820003644
validation_selected_rank,6,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.808081,81,10,1,34.372,343.72,-0.5,0.31622776601683794,0.3336214295084017,0.10550035934878584,2.2053666867623885,0.6973981806028258,0.10550035934878584,0.005247429413500877,0.034687538017939286,15.127707855158457
