duration_level,field_count,mean_duration,minimum_duration,maximum_duration,mean_window_deviation_percent,median_window_deviation_percent,maximum_window_deviation_percent,field_variability_percent,naive_level_mean_standard_error_percent,weighted_vs_unweighted_mean_percent,weighted_mean_vs_finest_level_percent,integral_coefficient_of_variation_percent,minimum_phi,maximum_phi,inverse_square_root_reference_percent,observed_to_inverse_square_root_ratio
0,64,10.75453125,10.75,10.760000000000218,5.363845338568654,5.387915644877933,7.223445514434158,5.4532594480603835,0.6816574310075479,0.00026417063397061004,0.0,1.0915533548574325e-05,0.0,0.527307,5.4532594480603835,1.0
1,32,21.5090625,21.5,21.51000000000022,3.8638624765484133,3.9392118975610195,4.821099683509992,3.9568495353108792,0.6994787846382905,0.00010331674967869502,0.030297366195131657,7.862175170615757e-06,0.0,0.518427,3.856036735293107,1.0261441492751
2,16,43.018125,43.00999999999999,43.02000000000021,2.592062878700911,2.5883068591707596,3.0809426673859197,2.6986851396587497,0.6746712849146874,6.0920858798451894e-05,0.03884243207647188,6.673263827729649e-06,0.0,0.511613,2.7266297240301918,0.9897512360680432
3,8,86.03625,86.02999999999997,86.04000000000019,1.757493709310403,1.844256216769676,2.2557517497468424,1.923266318482908,0.6799773279134752,2.933457950831692e-05,0.0388407521821596,6.131801582150694e-06,0.0,0.50897,1.9280183676465534,0.9975352676907088
4,4,172.0725,172.06999999999994,172.07999999999993,1.3298804442253473,1.3948901218348113,1.6975014094911836,1.5825185707380722,0.7912592853690361,1.8026436689651287e-05,0.03883943593693959,2.077813637971245e-06,0.0,0.504099,1.3633148620150959,1.1607872948725686
5,2,344.145,344.1400000000001,344.14999999999986,0.8880849328499316,0.8880849328499316,0.8880849328499316,1.2559417565755728,0.8880849328499316,1.2902772874855108e-05,0.03883879620645767,4.222567188871846e-06,0.0,0.502091,0.9640091838232767,1.3028317340240334
