model,rank,evaluation_role,uncertainty_source,prediction_source,duration_scaling,size_ratio,source_simulation,quantity,mode,loo_eligible,exclusion_reason,observed_absolute,predicted_absolute,absolute_error,relative_error_percent
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.30303,31,mode,5,True,,0.024716174248335387,0.017182903565933716,0.0075332706824016715,30.479113016081083
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.30303,31,mode,6,True,,0.04088168916492688,0.024648197087102895,0.016233492077823982,39.70846706537503
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.30303,31,modal_vector_summary,0,True,,0.06563557468898791,0.052908400946760956,0.020159384560322107,30.71411297279975
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.30303,31,field,0,True,,0.13966988065197172,0.13567345380768564,0.003996426844286083,2.861337623853454
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.40404,41,mode,1,True,,0.010114463449923457,0.00849226709127979,0.0016221963586436662,16.03838272465103
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.40404,41,mode,2,True,,0.023364898634402147,0.01609567037027848,0.0072692282641236665,31.111747488690394
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.40404,41,mode,3,True,,0.025208415956691023,0.02109283101103444,0.004115584945656583,16.32623387652484
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.40404,41,mode,4,True,,0.017665188115225862,0.02367707269573661,0.006011884580510749,34.03238358570903
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.40404,41,mode,5,True,,0.020764639057970467,0.02296355541055818,0.0021989163525877146,10.589716230794124
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.40404,41,mode,6,True,,0.025199202992343402,0.03284456243935646,0.007645359447013059,30.339687526371556
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.40404,41,modal_vector_summary,0,True,,0.05159374023972983,0.05424749446236303,0.01310880430992616,25.40774180940599
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.40404,41,field,0,True,,0.13168500515165177,0.12872415023240424,0.002960854919247524,2.2484374100435573
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.505051,51,mode,1,True,,0.008028149151560717,0.008329939576040103,0.00030179042447938537,3.7591531844013586
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.505051,51,mode,2,True,,0.015905615405614554,0.016796038860087608,0.0008904234544730542,5.598170405646435
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.505051,51,mode,3,True,,0.013582307601060118,0.025355386919597316,0.011773079318537197,86.67952209842672
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.505051,51,mode,4,True,,0.01799020452671143,0.019177419116370848,0.0011872145896594175,6.599227862566372
