model,rank,case_set,case_identifier,evaluation_role,uncertainty_source,duration_scaling,size_ratio,source_simulation,mode,truth_field_norm,projected_coefficient,predicted_coefficient,coefficient_error_absolute,coefficient_error_percent,modal_uncertainty_absolute,modal_uncertainty_percent,coefficient_error_to_uncertainty_ratio,mode_ratio_stable,uncertainty_rule_frozen_before_evaluation,external_test_used_for_selection
validation_selected_rank,6,numbered,numbered_simulation_1,fitting,observed_numbered_windows,empirical_primary,1.0,1,1,12.534418235102383,-11.591603133658396,-11.580040924053849,0.01156220960454668,0.09224368764213522,0.007590022103831441,0.06055344541301278,1.5233433376577494,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_1,fitting,observed_numbered_windows,empirical_primary,1.0,1,2,12.534418235102383,-4.6735707102010515,-4.671519263372908,0.0020514468281431775,0.016366510113713473,0.012494560351392013,0.09968201249581134,0.1641871959035859,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_1,fitting,observed_numbered_windows,empirical_primary,1.0,1,3,12.534418235102383,0.911160312589843,0.9544901547135481,0.043329842123705165,0.34568690234350746,0.019107283549369056,0.1524385351675876,2.2677133571473043,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_1,fitting,observed_numbered_windows,empirical_primary,1.0,1,4,12.534418235102383,0.20584105108018136,0.16201961338088638,0.043821437699294974,0.3496088679774058,0.030659906419936732,0.24460573953144701,1.4292749983998614,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_1,fitting,observed_numbered_windows,empirical_primary,1.0,1,5,12.534418235102383,0.13518089041313067,0.08120731398142939,0.05397357643170128,0.4306029639297449,0.014464645360723867,0.11539941534913781,3.731413739202814,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_1,fitting,observed_numbered_windows,empirical_primary,1.0,1,6,12.534418235102383,0.08581269328029068,0.017188855845468302,0.06862383743482237,0.5474832269649557,0.026008573538561362,0.20749725316907716,2.6385083108490317,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_1,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.0,1,1,12.534418235102383,-11.591603133658396,-11.580040924053849,0.01156220960454668,0.09224368764213522,0.006939082335958781,0.055360226584158664,1.666244763321304,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_1,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.0,1,2,12.534418235102383,-4.6735707102010515,-4.671519263372908,0.0020514468281431775,0.016366510113713473,0.01142299480078572,0.09113302736935852,0.17958922891237514,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_1,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.0,1,3,12.534418235102383,0.911160312589843,0.9544901547135481,0.043329842123705165,0.34568690234350746,0.017468593892322488,0.139365015309622,2.480442466680091,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_1,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.0,1,4,12.534418235102383,0.20584105108018136,0.16201961338088638,0.043821437699294974,0.3496088679774058,0.028030434187185732,0.22362772377171103,1.5633520839048647,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_1,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.0,1,5,12.534418235102383,0.13518089041313067,0.08120731398142939,0.05397357643170128,0.4306029639297449,0.013224120265452147,0.10550246543089066,4.081449302355983,True,True,False
